achúra,menudencias,menudencia,N,C,F,P
kane'õngue,cansancio,cansancio,N,C,M,S
kane'õngue,cansancioos,cansancio,N,C,M,P
kane'õngue,cansancios,cansancio,N,C,M,P
kangue,hueso,hueso,N,C,M,S
kangue,huesos,hueso,N,C,M,P
kangue,carozo,carozo,N,C,M,S
kangue,carozos,carozo,N,C,M,P
kanguekue,esqueleto,esqueleto,N,C,M,S
kanguekue,esqueletos,esqueleto,N,C,M,P
kanguepo,juanete,juanete,N,C,M,S
kanguepo,juanetes,juanete,N,C,M,P
kangy,flojedad,flojedad,N,C,F,S
kangy,flojedades,flojedad,N,C,F,P
kangy,flaqueza,flaqueza,N,C,F,S
kangy,flaquezas,flaqueza,N,C,F,P
kangy,depresión,depresión,N,C,F,S
kangy,depresiones,depresión,N,C,F,P
kangy,k,k,N,C,F,S
kaninde,guacamayo,guacamayo,N,C,M,S
kaninde,guacamayos,guacamayo,N,C,M,P
kanóa,bote,bote,N,C,M,S
kanóa,botes,bote,N,C,M,P
kapi'i,hierba,hierba,N,C,F,S
kapi'i,hierbas,hierba,N,C,F,P
kapi'i,pasto,pasto,N,C,M,S
kapi'i,pastos,pasto,N,C,M,P
kapi'i,forraje,forraje,N,C,M,S
kapi'i,forrajes,forraje,N,C,M,P
kapi'i,paja,paja,N,C,F,S
kapi'i,pajas,paja,N,C,F,P
kapi'i,heno,heno,N,C,M,S
kapi'i,henos,heno,N,C,M,P
kapi'ipe,césped,césped,N,C,M,S
kapi'ipe,céspedes,césped,N,C,M,P
kapi'ipe,pasto,pasto,N,C,M,S
kapi'ipe,pastos,pasto,N,C,M,P
kapi'ipe,hierba,hierba,N,C,F,S
kapi'ipe,hierbas,hierba,N,C,F,P
kapi'ipe,gramilla,gramilla,N,C,F,S
kapi'ipe,gramillas,gramilla,N,C,F,P
kapi'ity,pastizal,pastizal,N,C,M,S
kapi'ity,pastizales,pastizal,N,C,M,P
kapi'ity,pajonal,pajonal,N,C,M,S
kapi'ity,pajonales,pajonal,N,C,M,P
kapuéra,chacra,chacra,N,C,F,S
kapuéra,chacras,chacra,N,C,F,P
kapuéra,granja,granja,N,C,F,S
kapuéra,granjas,granja,N,C,F,P
kapuéra,plantación,plantación,N,C,F,S
kapuéra,plantaciones,plantación,N,C,F,P
kapõ,capón,capón,N,C,M,S
kapõ,capones,capón,N,C,M,P
karai,señor,señor,N,C,M,S
karai,señora,señor,N,C,F,S
karai,señoras,señor,N,C,F,P
karai,señores,señor,N,C,M,P
karai,hombre,hombre,N,C,M,S
karai,hombres,hombre,N,C,M,P
karai,dueña,dueño,N,C,F,S
karai,dueñas,dueño,N,C,F,P
karai,dueño,dueño,N,C,M,S
karai,dueños,dueño,N,C,M,P
karai,amo,amo,N,C,M,S
karai,amos,amo,N,C,M,P
karai,don,don,N,C,M,S
karai,dones,don,N,C,M,P
karai,doña,don,N,C,F,S
karai,doñas,don,N,C,F,P
karaiñe'ẽ,español,español,N,C,M,S
karaiñe'ẽ,española,español,N,C,F,S
karaiñe'ẽ,españolas,español,N,C,F,P
karaiñe'ẽ,españoles,español,N,C,M,P
karaja,macaca,macaco,N,C,F,S
karaja,macacas,macaco,N,C,F,P
karaja,macaco,macaco,N,C,M,S
karaja,macacos,macaco,N,C,M,P
karakara,carancho,carancho,N,C,M,S
karakara,caranchos,carancho,N,C,M,P
karakara,buitre,buitre,N,C,M,S
karakara,buitres,buitre,N,C,M,P
karakatu,habilidad,habilidad,N,C,F,S
karakatu,habilidades,habilidad,N,C,F,P
karaku,médula,médula,N,C,F,S
karaku,médulas,médula,N,C,F,P
karaku,tuétano,tuétano,N,C,M,S
karaku,tuétanos,tuétano,N,C,M,P
karaku,esencia,esencia,N,C,F,S
karaku,esencias,esencia,N,C,F,P
karameguã,baúl,baúl,N,C,M,S
karameguã,baúles,baúl,N,C,M,P
karameguã,cofre,cofre,N,C,M,S
karameguã,cofres,cofre,N,C,M,P
karameguã,arcón,arcón,N,C,M,S
karameguã,arcones,arcón,N,C,M,P
karanda'yty,palmar,palmar,N,C,M,S
karanda'yty,palmares,palmar,N,C,M,P
karapekue,pequeñeces,pequeñez,N,C,F,P
karapekue,pequeñez,pequeñez,N,C,F,S
karia'y,joven,joven,N,C,C,S
karia'y,jóvenes,joven,N,C,C,P
karia'y,moza,mozo,N,C,F,S
karia'y,mozas,mozo,N,C,F,P
karia'y,mozo,mozo,N,C,M,S
karia'y,mozos,mozo,N,C,M,P
karia'y,muchacha,muchacho,N,C,F,S
karia'y,muchachas,muchacho,N,C,F,P
karia'y,muchacho,muchacho,N,C,M,S
karia'y,muchachos,muchacho,N,C,M,P
karimbata,bagre,bagre,N,C,M,S
karimbata,bagres,bagre,N,C,M,P
karu,comida,comida,N,C,F,S
karu,comidas,comida,N,C,F,P
karu,almuerzo,almuerzo,N,C,M,S
karu,almuerzos,almuerzo,N,C,M,P
karu,cena,cena,N,C,F,S
karu,cenas,cena,N,C,F,P
karugua,pantano,pantano,N,C,M,S
karugua,pantanos,pantano,N,C,M,P
karugua,lodazal,lodazal,N,C,M,S
karugua,lodazales,lodazal,N,C,M,P
karugua,cenagal,cenagal,N,C,M,S
karugua,cenagales,cenagal,N,C,M,P
karuha,comedor,comedor,N,C,M,S
karuha,comedores,comedor,N,C,M,P
karuha,restaurante,restaurante,N,C,M,S
karuha,restaurantes,restaurante,N,C,M,P
karumbe,tortuga,tortuga,N,C,F,S
karumbe,tortugas,tortuga,N,C,F,P
karuse,apetito,apetito,N,C,M,S
karuse,apetitos,apetito,N,C,M,P
karu'i,ayuno,ayuno,N,C,M,S
karu'i,ayunos,ayuno,N,C,M,P
karu'i,inapetencia,inapetencia,N,C,F,S
karu'i,inapetencias,inapetencia,N,C,F,P
karu'i,frugalidad,frugalidad,N,C,F,S
karu'i,frugalidades,frugalidad,N,C,F,P
karu'ỹ,ayuno,ayuno,N,C,M,S
karu'ỹ,ayunos,ayuno,N,C,M,P
karáu,torcedura,torcedura,N,C,F,S
karáu,torceduras,torcedura,N,C,F,P
karáu,recalcadura,recalcadura,N,C,F,S
karáu,recalcaduras,recalcadura,N,C,F,P
karáu,esguince,esguince,N,C,M,S
karáu,esguinces,esguince,N,C,M,P
karáu,luxación,luxación,N,C,F,S
karáu,luxaciones,luxación,N,C,F,P
karáu,luxaciónes,luxación,N,C,F,P
karáu,dislocación,dislocación,N,C,F,S
karáu,dislocaciones,dislocación,N,C,F,P
karãu,ibis,ibis,N,C,M,N
karóva,jacarandá,jacarandá,N,C,M,S
karóva,jacarandaes,jacarandá,N,C,M,P
karóva,jacarandás,jacarandá,N,C,M,P
katu,poder,poder,N,C,M,S
katu,poderes,poder,N,C,M,P
katupyry,sagacidad,sagacidad,N,C,F,S
katupyry,sagacidades,sagacidad,N,C,F,P
katupyry,habilidad,habilidad,N,C,F,S
katupyry,habilidades,habilidad,N,C,F,P
katupyry,inteligencia,inteligencia,N,C,F,S
katupyry,inteligencias,inteligencia,N,C,F,P
katupyry,idoneidad,idoneidad,N,C,F,S
katupyry,idoneidades,idoneidad,N,C,F,P
katupyry,viveza,viveza,N,C,F,S
katupyry,vivezas,viveza,N,C,F,P
katupyry,pericia,pericia,N,C,F,S
katupyry,pericias,pericia,N,C,F,P
katuveha,privilegio,privilegio,N,C,M,S
katuveha,privilegios,privilegio,N,C,M,P
katĩ,sobaquina,sobaquina,N,C,F,S
katĩ,sobaquinas,sobaquina,N,C,F,P
katĩ,catinga,catinga,N,C,F,S
katĩ,catingas,catinga,N,C,F,P
kavame,zángano,zángano,N,C,M,S
kavame,zánganos,zángano,N,C,M,P
kavure,lechuza,lechuza,N,C,F,S
kavure,lechuzas,lechuza,N,C,F,P
kañyha,escondite,escondite,N,C,M,S
kañyha,escondites,escondite,N,C,M,P
kañymby,misterio,misterio,N,C,M,S
kañymby,misterios,misterio,N,C,M,P
ka'a,hierba,hierba,N,C,F,S
ka'a,hierbas,hierba,N,C,F,P
ka'a,yerba,yerba,N,C,F,S
ka'a,yerbas,yerba,N,C,F,P
ka'a,vegetación,vegetación,N,C,F,S
ka'a,vegetaciones,vegetación,N,C,F,P
ka'a,vegetal,vegetal,N,C,M,S
ka'a,vegetales,vegetal,N,C,M,P
ka'a,verdura,verdura,N,C,F,S
ka'a,verduras,verdura,N,C,F,P
ka'a,planta,planta,N,C,F,S
ka'a,plantas,planta,N,C,F,P
ka'aguasu,selva,selva,N,C,F,S
ka'aguasu,selvas,selva,N,C,F,P
ka'aguy,bosque,bosque,N,C,M,S
ka'aguy,bosques,bosque,N,C,M,P
ka'aguy,selva,selva,N,C,F,S
ka'aguy,selvas,selva,N,C,F,P
ka'aguy,monte,monte,N,C,M,S
ka'aguy,montes,monte,N,C,M,P
ka'aikove,mimosa,mimosa,N,C,F,S
ka'aikove,mimosas,mimosa,N,C,F,P
ka'apetái,berro,berro,N,C,M,S
ka'apetái,berros,berro,N,C,M,P
ka'ary,cocido,cocido,N,C,M,S
ka'ary,cocidos,cocido,N,C,M,P
ka'arúma,vísperas,víspera,N,C,F,P
ka'avo,planta,planta,N,C,F,S
ka'avo,plantas,planta,N,C,F,P
ka'avo,vegetal,vegetal,N,C,M,S
ka'avo,vegetales,vegetal,N,C,M,P
ka'avo,verdura,verdura,N,C,F,S
ka'avo,verduras,verdura,N,C,F,P
ka'avo,hortaliza,hortaliza,N,C,F,S
ka'avo,hortalizas,hortaliza,N,C,F,P
ka'avo,hierba,hierba,N,C,F,S
ka'avo,hierbas,hierba,N,C,F,P
ka'avoty,huerta,huerta,N,C,F,S
ka'avoty,huertas,huerta,N,C,F,P
ka'ay,mate,mate,N,C,M,S
ka'ay,mates,mate,N,C,M,P
ka'ay,té,té,N,C,M,S
ka'ay,tés,té,N,C,M,P
ka'irãi,cárcel,cárcel,N,C,F,S
ka'irãi,cárceles,cárcel,N,C,F,P
ka'irãi,calabozo,calabozo,N,C,M,S
ka'irãi,calabozos,calabozo,N,C,M,P
ka'irãi,cautiverio,cautiverio,N,C,M,S
ka'irãi,cautiverios,cautiverio,N,C,M,P
ka'irãi,penitenciaría,penitenciaría,N,C,F,S
ka'irãi,penitenciarías,penitenciaría,N,C,F,P
ka'irãi,prisión,prisión,N,C,F,S
ka'irãi,prisiones,prisión,N,C,F,P
ka'irãi,presidio,presidio,N,C,M,S
ka'irãi,presidios,presidio,N,C,M,P
ka'irãi,penal,penal,N,C,M,S
ka'irãi,penales,penal,N,C,M,P
ka'irãi,reclusión,reclusión,N,C,F,S
ka'irãi,reclusiones,reclusión,N,C,F,P
ka'irãimegua,preso,preso,N,C,M,S
ka'irãimegua,presos,preso,N,C,M,P
ka'u,borrachera,borrachera,N,C,F,S
ka'u,borracheras,borrachera,N,C,F,P
ka'u'ỹ,sobriedad,sobriedad,N,C,F,S
ka'u'ỹ,sobriedades,sobriedad,N,C,F,P
ka'ygua,mate,mate,N,C,M,S
ka'ygua,mates,mate,N,C,M,P
keha,dormitorio,dormitorio,N,C,M,S
keha,dormitorios,dormitorio,N,C,M,P
keha,guarida,guarida,N,C,F,S
keha,guaridas,guarida,N,C,F,P
kemano,coma,coma,N,C,C,S
kemano,comas,coma,N,C,C,P
kepochy,letargo,letargo,N,C,M,S
kepochy,letargos,letargo,N,C,M,P
kerambipu,serenata,serenata,N,C,F,S
kerambipu,serenatas,serenata,N,C,F,P
kerana,somnolencia,somnolencia,N,C,F,S
kerana,somnolencias,somnolencia,N,C,F,P
kerandy,sueño,sueño,N,C,M,S
kerandy,sueños,sueño,N,C,M,P
kerandy,ensueño,ensueño,N,C,M,S
kerandy,ensueños,ensueño,N,C,M,P
kerapohã,narcótico,narcótico,N,C,M,S
kerapohã,narcóticos,narcótico,N,C,M,P
kerapohã,morfina,morfina,N,C,F,S
kerapohã,morfinas,morfina,N,C,F,P
kerasy,insomnio,insomnio,N,C,M,S
kerasy,insomnios,insomnio,N,C,M,P
kerasy,letargo,letargo,N,C,M,S
kerasy,letargos,letargo,N,C,M,P
kerasy,pesadilla,pesadilla,N,C,F,S
kerasy,pesadillas,pesadilla,N,C,F,P
kerasy,modorra,modorra,N,C,F,S
kerasy,modorras,modorra,N,C,F,P
ke'ỹ,vigilia,vigilia,N,C,F,S
ke'ỹ,vigilias,vigilia,N,C,F,P
ke'ỹ,insomnio,insomnio,N,C,M,S
ke'ỹ,insomnios,insomnio,N,C,M,P
kichiha,galán,galán,N,C,M,S
kichiha,galanes,galán,N,C,M,P
kirikiri,gavilán,gavilán,N,C,M,S
kirikiri,gavilanes,gavilán,N,C,M,P
kirikiri,halcón,halcón,N,C,M,S
kirikiri,halcones,halcón,N,C,M,P
kirirĩ,silencio,silencio,N,C,M,S
kirirĩ,silencios,silencio,N,C,M,P
kirirĩ,calma,calma,N,C,F,S
kirirĩ,calmas,calma,N,C,F,P
kirirĩ,sigilo,sigilo,N,C,M,S
kirirĩ,sigilos,sigilo,N,C,M,P
kirirĩ,paces,paz,N,C,F,P
kirirĩ,paz,paz,N,C,F,S
kirirĩ,quietud,quietud,N,C,F,S
kirirĩ,quietudes,quietud,N,C,F,P
kirirĩ,mutismo,mutismo,N,C,M,S
kirirĩ,mutismos,mutismo,N,C,M,P
klu,club,club,N,C,M,S
klu,clube,club,N,C,M,S
klu,clubes,club,N,C,M,P
klu,clubs,club,N,C,M,P
kogakue,rastrojo,rastrojo,N,C,M,S
kogakue,rastrojos,rastrojo,N,C,M,P
kohúdo,semental,semental,N,C,M,S
kohúdo,sementales,semental,N,C,M,P
kokue,chacra,chacra,N,C,F,S
kokue,chacras,chacra,N,C,F,P
kokue,huerta,huerta,N,C,F,S
kokue,huertas,huerta,N,C,F,P
kokue,plantación,plantación,N,C,F,S
kokue,plantaciones,plantación,N,C,F,P
kokue,granja,granja,N,C,F,S
kokue,granjas,granja,N,C,F,P
kokue,sembrado,sembrado,N,C,M,S
kokue,sembrados,sembrado,N,C,M,P
kokueguára,agricultor,agricultor,N,C,M,S
kokueguára,agricultora,agricultor,N,C,F,S
kokueguára,agricultoras,agricultor,N,C,F,P
kokueguára,agricultores,agricultor,N,C,M,P
kolõ,colón,colón,N,C,M,S
kolõ,colones,colón,N,C,M,P
koni,contoneo,contoneo,N,C,M,S
koni,contoneos,contoneo,N,C,M,P
koni,zigzag,zigzag,N,C,M,S
koni,zigzags,zigzag,N,C,M,P
koni,recodo,recodo,N,C,M,S
koni,recodos,recodo,N,C,M,P
kopihára,machetera,machetero,N,C,F,S
kopihára,macheteras,machetero,N,C,F,P
kopihára,machetero,machetero,N,C,M,S
kopihára,macheteros,machetero,N,C,M,P
korochire,zorzal,zorzal,N,C,M,S
korochire,zorzales,zorzal,N,C,M,P
kororõ,ronquido,ronquido,N,C,M,S
kororõ,ronquidos,ronquido,N,C,M,P
kororõ,rugido,rugido,N,C,M,S
kororõ,rugidos,rugido,N,C,M,P
kororõ,gruñido,gruñido,N,C,M,S
kororõ,gruñidos,gruñido,N,C,M,P
korõi,reprimenda,reprimenda,N,C,F,S
korõi,reprimendas,reprimenda,N,C,F,P
kotevẽ,necesidad,necesidad,N,C,F,S
kotevẽ,necesidades,necesidad,N,C,F,P
kotevẽmby,necesidad,necesidad,N,C,F,S
kotevẽmby,necesidades,necesidad,N,C,F,P
koty,cuarto,cuarto,N,C,M,S
koty,cuartos,cuarto,N,C,M,P
koty,pieza,pieza,N,C,F,S
koty,piezas,pieza,N,C,F,P
koty,habitación,habitación,N,C,F,S
koty,habitaciones,habitación,N,C,F,P
koty,gabinete,gabinete,N,C,M,S
koty,gabinetes,gabinete,N,C,M,P
koty,recámara,recámara,N,C,F,S
koty,recámaras,recámara,N,C,F,P
koty,recinto,recinto,N,C,M,S
koty,recintos,recinto,N,C,M,P
kotyguahẽha,sala,sala,N,C,F,S
kotyguahẽha,salas,sala,N,C,F,P
kotyguahẽha,recibidor,recibidor,N,C,M,S
kotyguahẽha,recibidores,recibidor,N,C,M,P
kotyhũ,calabozo,calabozo,N,C,M,S
kotyhũ,calabozos,calabozo,N,C,M,P
kotypy,pieza,pieza,N,C,F,S
kotypy,piezas,pieza,N,C,F,P
koty'i,casilla,casilla,N,C,F,S
koty'i,casillas,casilla,N,C,F,P
koty'i,camarín,camarín,N,C,M,S
koty'i,camarines,camarín,N,C,M,P
koty'i,puesto,puesto,N,C,M,S
koty'i,puestos,puesto,N,C,M,P
kovi,pejerrey,pejerrey,N,C,M,S
kovi,pejerreyes,pejerrey,N,C,M,P
ko'i,tropel,tropel,N,C,M,S
ko'i,tropeles,tropel,N,C,M,P
ko'i,reunión,reunión,N,C,F,S
ko'i,reuniones,reunión,N,C,F,P
ko'ára,hoy,hoy,N,C,M,S
ko'õ,irritación,irritación,N,C,F,S
ko'õ,irritaciones,irritación,N,C,F,P
ko'õ,prurito,prurito,N,C,M,S
ko'õ,pruritos,prurito,N,C,M,P
ko'õ,escozor,escozor,N,C,M,S
ko'õ,escozores,escozor,N,C,M,P
ko'õ,ofensa,ofensa,N,C,F,S
ko'õ,ofensas,ofensa,N,C,F,P
ko'õiha,ofensor,ofensor,N,C,M,S
ko'õiha,ofensora,ofensor,N,C,F,S
ko'õiha,ofensoras,ofensor,N,C,F,P
ko'õiha,ofensores,ofensor,N,C,M,P
ko'ẽ,amanecer,amanecer,N,C,M,S
ko'ẽ,amaneceres,amanecer,N,C,M,P
ko'ẽ,madrugada,madrugada,N,C,F,S
ko'ẽ,madrugadas,madrugada,N,C,F,P
ko'ẽju,aurora,aurora,N,C,F,S
ko'ẽju,auroras,aurora,N,C,F,P
ko'ẽju,alborada,alborada,N,C,F,S
ko'ẽju,alboradas,alborada,N,C,F,P
ko'ẽju,amanecer,amanecer,N,C,M,S
ko'ẽju,amaneceres,amanecer,N,C,M,P
ko'ẽju,madrugada,madrugada,N,C,F,S
ko'ẽju,madrugadas,madrugada,N,C,F,P
ko'ẽjusoro,amanecer,amanecer,N,C,M,S
ko'ẽjusoro,amaneceres,amanecer,N,C,M,P
ko'ẽmba,vigilia,vigilia,N,C,F,S
ko'ẽmba,vigilias,vigilia,N,C,F,P
ko'ẽmbota,alba,alba,N,C,F,S
ko'ẽmbota,albas,alba,N,C,F,P
ko'ẽmbota,madrugada,madrugada,N,C,F,S
ko'ẽmbota,madrugadas,madrugada,N,C,F,P
ko'ẽmby,alba,alba,N,C,F,S
ko'ẽmby,albas,alba,N,C,F,P
ko'ẽngy,amanecer,amanecer,N,C,M,S
ko'ẽngy,amaneceres,amanecer,N,C,M,P
ko'ẽpytã,amanecer,amanecer,N,C,M,S
ko'ẽpytã,amaneceres,amanecer,N,C,M,P
ko'ẽsoro,amanecer,amanecer,N,C,M,S
ko'ẽsoro,amaneceres,amanecer,N,C,M,P
ko'ẽtĩ,alba,alba,N,C,F,S
ko'ẽtĩ,albas,alba,N,C,F,P
ko'ẽtĩ,amanecer,amanecer,N,C,M,S
ko'ẽtĩ,amaneceres,amanecer,N,C,M,P
ko'ẽtĩ,aurora,aurora,N,C,F,S
ko'ẽtĩ,auroras,aurora,N,C,F,P
ko'ẽtĩ,madrugada,madrugada,N,C,F,S
ko'ẽtĩ,madrugadas,madrugada,N,C,F,P
ko'ẽtĩsoro,amanecer,amanecer,N,C,M,S
ko'ẽtĩsoro,amaneceres,amanecer,N,C,M,P
ko'ẽvy,amanecer,amanecer,N,C,M,S
ko'ẽvy,amaneceres,amanecer,N,C,M,P
kua,agujero,agujero,N,C,M,S
kua,agujeros,agujero,N,C,M,P
kua,hueco,hueco,N,C,M,S
kua,huecos,hueco,N,C,M,P
kua,orificio,orificio,N,C,M,S
kua,orificios,orificio,N,C,M,P
kua,hoyo,hoyo,N,C,M,S
kua,hoyos,hoyo,N,C,M,P
kua,boquete,boquete,N,C,M,S
kua,boquetes,boquete,N,C,M,P
kua,guarida,guarida,N,C,F,S
kua,guaridas,guarida,N,C,F,P
kua,yacimiento,yacimiento,N,C,M,S
kua,yacimientos,yacimiento,N,C,M,P
kuaa,inteligencia,inteligencia,N,C,F,S
kuaa,inteligencias,inteligencia,N,C,F,P
kuaa,entendimiento,entendimiento,N,C,M,S
kuaa,entendimientos,entendimiento,N,C,M,P
kuaa,intelecto,intelecto,N,C,M,S
kuaa,intelectos,intelecto,N,C,M,P
kuaa,raciocinio,raciocinio,N,C,M,S
kuaa,raciocinios,raciocinio,N,C,M,P
kuaaha,razón,razón,N,C,F,S
kuaaha,razones,razón,N,C,F,P
kuaaha,conocimiento,conocimiento,N,C,M,S
kuaaha,conocimientos,conocimiento,N,C,M,P
kuaaha,sabiduría,sabiduría,N,C,F,S
kuaaha,sabidurías,sabiduría,N,C,F,P
kuaapavẽ,filosofía,filosofía,N,C,F,S
kuaapavẽ,filosofías,filosofía,N,C,F,P
kuaapyrã,noticia,noticia,N,C,F,S
kuaapyrã,noticias,noticia,N,C,F,P
kuaapyrã,acertijo,acertijo,N,C,M,S
kuaapyrã,acertijos,acertijo,N,C,M,P
kuaara'ã,prueba,prueba,N,C,F,S
kuaara'ã,pruebas,prueba,N,C,F,P
kuaara'ã,examen,examen,N,C,M,S
kuaara'ã,exámenes,examen,N,C,M,P
kuaase,interés,interés,N,C,M,S
kuaase,intereses,interés,N,C,M,P
kuaase,curiosidad,curiosidad,N,C,F,S
kuaase,curiosidades,curiosidad,N,C,F,P
kuaaserei,curiosidad,curiosidad,N,C,F,S
kuaaserei,curiosidades,curiosidad,N,C,F,P
kuaaukahára,comunicador,comunicador,N,C,M,S
kuaaukahára,comunicadores,comunicador,N,C,M,P
kuaaukahára,denunciante,denunciante,N,C,C,S
kuaaukahára,denunciantes,denunciante,N,C,C,P
kuarahy,sol,sol,N,C,M,S
kuarahy,soles,sol,N,C,M,P
kuarahy,sols,sol,N,C,M,P
kuarahyreike,oeste,oeste,N,C,M,S
kuarahyreike,oestes,oeste,N,C,M,P
kuarahyreike,poniente,poniente,N,C,M,S
kuarahyreike,ponientes,poniente,N,C,M,P
"kuarahyresẽ,_kuarahysẽ",este,este,N,C,M,S
"kuarahyresẽ,_kuarahysẽ",estes,este,N,C,M,P
"kuarahyresẽ,_kuarahysẽ",oriente,oriente,N,C,M,S
"kuarahyresẽ,_kuarahysẽ",orientes,oriente,N,C,M,P
kuarahysẽha,este,este,N,C,M,S
kuarahysẽha,estes,este,N,C,M,P
kuarahysẽha,oriente,oriente,N,C,M,S
kuarahysẽha,orientes,oriente,N,C,M,P
kuarahy'ã,sombra,sombra,N,C,F,S
kuarahy'ã,sombras,sombra,N,C,F,P
kuarahy'ã,enramada,enramada,N,C,F,S
kuarahy'ã,enramadas,enramada,N,C,F,P
kuarahy'ã,cárcel,cárcel,N,C,F,S
kuarahy'ã,cárceles,cárcel,N,C,F,P
kuare,hueco,hueco,N,C,M,S
kuare,huecos,hueco,N,C,M,P
kuare,herida,herida,N,C,F,S
kuare,herida,herido,N,C,F,S
kuare,heridas,herida,N,C,F,P
kuaru,micción,micción,N,C,F,S
kuaru,micciones,micción,N,C,F,P
kuaruha,pene,pene,N,C,M,S
kuaruha,penes,pene,N,C,M,P
kuati,coatí,coatí,N,C,M,S
kuati,coatíes,coatí,N,C,M,P
kuati,coatís,coatí,N,C,M,P
kuati,coatises,coatí,N,C,M,P
kuatia,papel,papel,N,C,M,S
kuatia,papeles,papel,N,C,M,P
kuatia,carta,carta,N,C,F,S
kuatia,cartas,carta,N,C,F,P
kuatia,libro,libro,N,C,M,S
kuatia,libros,libro,N,C,M,P
kuatia,escrito,escrito,N,C,M,S
kuatia,escritos,escrito,N,C,M,P
kuatia,documento,documento,N,C,M,S
kuatia,documentos,documento,N,C,M,P
kuatia,texto,texto,N,C,M,S
kuatia,textos,texto,N,C,M,P
kuatiahaihára,escritor,escritor,N,C,M,S
kuatiahaihára,escritora,escritor,N,C,F,S
kuatiahaihára,escritoras,escritor,N,C,F,P
kuatiahaihára,escritores,escritor,N,C,M,P
kuerái,tedio,tedio,N,C,M,S
kuerái,tedios,tedio,N,C,M,P
kuerái,hastío,hastío,N,C,M,S
kuerái,hastíos,hastío,N,C,M,P
kuerái,aburrimiento,aburrimiento,N,C,M,S
kuerái,aburrimientos,aburrimiento,N,C,M,P
kuimba'e,hombre,hombre,N,C,M,S
kuimba'e,hombres,hombre,N,C,M,P
kuimba'e,varón,varón,N,C,M,S
kuimba'e,varones,varón,N,C,M,P
kuimba'e,varónes,varón,N,C,M,P
kuimba'e,macho,macho,N,C,M,S
kuimba'e,machos,macho,N,C,M,P
kuimbe,cuchara,cuchara,N,C,F,S
kuimbe,cucharas,cuchara,N,C,F,P
kujererã,trabalenguas,trabalenguas,N,C,M,N
kuku,cuca,cuco,N,C,F,S
kuku,cucas,cuco,N,C,F,P
kuku,cuco,cuco,N,C,M,S
kuku,cucos,cuco,N,C,M,P
kumanda,poroto,poroto,N,C,M,S
kumanda,porotos,poroto,N,C,M,P
kumanda,frijol,fríjol,N,C,M,S
kumare,trébol,trébol,N,C,M,S
kumare,tréboles,trébol,N,C,M,P
kumbari,ají,ají,N,C,M,S
kumbari,ajíes,ají,N,C,M,P
kumbari,ajís,ají,N,C,M,P
kumbari,pimienta,pimienta,N,C,F,S
kumbari,pimientas,pimienta,N,C,F,P
kunumi,bebé,bebé,N,C,M,S
kunumi,bebés,bebé,N,C,M,P
kunumi,criatura,criatura,N,C,F,S
kunumi,criaturas,criatura,N,C,F,P
kunu'ũ,mimo,mimo,N,C,M,S
kunu'ũ,mimos,mimo,N,C,M,P
kunu'ũ,caricia,caricia,N,C,F,S
kunu'ũ,caricias,caricia,N,C,F,P
kunu'ũ,zalamería,zalamería,N,C,F,S
kunu'ũ,zalamerías,zalamería,N,C,F,P
kunu'ũ,ternura,ternura,N,C,F,S
kunu'ũ,ternuras,ternura,N,C,F,P
kupe,fondo,fondo,N,C,M,S
kupe,fondos,fondo,N,C,M,P
kupe,reverso,reverso,N,C,M,S
kupe,reversos,reverso,N,C,M,P
kupe,revés,revés,N,C,M,S
kupe,reveses,revés,N,C,M,P
kupe,espalda,espalda,N,C,F,S
kupe,espaldas,espalda,N,C,F,P
kupe,dorso,dorso,N,C,M,S
kupe,dorsos,dorso,N,C,M,P
kupi'i,termita,termita,N,C,F,S
kupi'i,termitas,termita,N,C,F,P
kupi'i,carcoma,carcoma,N,C,F,S
kupi'i,carcomas,carcoma,N,C,F,P
kupy,pierna,pierna,N,C,F,S
kupy,piernas,pierna,N,C,F,P
kupy,tibia,tibia,N,C,F,S
kupy,tibias,tibia,N,C,F,P
kupy,peroné,peroné,N,C,M,S
kupy,peronés,peroné,N,C,M,P
kupy,canilla,canilla,N,C,F,S
kupy,canillas,canilla,N,C,F,P
kupyju,gallo,gallo,N,C,M,S
kupyju,gallos,gallo,N,C,M,P
"kupylia,_kupypa'ã",zancadilla,zancadilla,N,C,F,S
"kupylia,_kupypa'ã",zancadillas,zancadilla,N,C,F,P
kurapepẽ,calabaza,calabaza,N,C,F,S
kurapepẽ,calabazas,calabaza,N,C,F,P
kura'ỹi,sarna,sarna,N,C,F,S
kura'ỹi,sarnas,sarna,N,C,F,P
kura'ỹi,urticaria,urticaria,N,C,F,S
kura'ỹi,urticarias,urticaria,N,C,F,P
kure,chancho,chancho,N,C,M,S
kure,chanchos,chancho,N,C,M,P
kure,cerda,cerdo,N,C,F,S
kure,cerdas,cerdo,N,C,F,P
kure,cerdo,cerdo,N,C,M,S
kure,cerdos,cerdo,N,C,M,P
kure,puerco,puerco,N,C,M,S
kure,puercos,puerco,N,C,M,P
kure,cochina,cochino,N,C,F,S
kure,cochinas,cochino,N,C,F,P
kure,cochino,cochino,N,C,M,S
kure,cochinos,cochino,N,C,M,P
kure,marrana,marrano,N,C,F,S
kure,marranas,marrano,N,C,F,P
kure,marrano,marrano,N,C,M,S
kure,marranos,marrano,N,C,M,P
kurekua,chiquero,chiquero,N,C,M,S
