Tú tomarás.,Nde pejapyhyt.
Vos cuajaste de aquel discurso.,Nde pembohypy'akuri amo ñemoñe'ẽgui.
Vosotras teníais.,Peẽ peguerekomi.
Vos meterás.,Nde pemoinget.
Ellas señalan vuestro invierno.,Ha'ekuéra omoma'ẽ pende araro'y.
Ella transfiere la excavación.,Ha'e orova yvyjo'o.
Yo cumplo.,Che amboaje.
Vosotras confiasteis.,Peẽ pejeroviakuri.
Tú desenlazarás por estas pirañas.,Nde pemosãsot ã pirãinguérare.
Ella podrá.,Ha'e oikatut.
Ellos privaron.,Ope'akuri hikuái.
Vosotros no poníais.,Peẽ napemohendaimi.
Ellos encaminaron vuestro informe.,Ha'ekuéra ombohapekuri pene marandu.
Ellas dirigieron.,Ha'ekuéra osãmbyhykuri.
Ellas pierden.,Ha'ekuéra orokañy.
Él cargará.,Ha'e omyenyhẽt.
Tú no esperarás.,Nde ndapejeroviait.
Ellas no achicaron nuestro encargado sobre la gruta.,Nombo'irikuri ári ore ñangarekoha árihikuái yvytykua.
Nosotras no flotamos.,Ñande ndajavevúirikuri.
Nosotras no flotamos.,Ore ndorovevúiri.
Ella trataba.,Ha'e oñemumi.
Yo descortezaba este impacto a nuestro sarampión.,Che apire'omi ko japi ore mbiru'ape.
Ellos vencieron desde los tesoros.,Ha'ekuéra opu'akakuri tembiayhukuéra guive.
Vosotras diferenciaréis nuestro cedro.,Peẽ pemoingoet ñande ygary.
Tú no saltarás.,Nde ndapepoit.
Vosotros no reglamentáis.,Peẽ napembohapei.
Él enlazó.,Ha'e omosãkuri.
Tú burlarás desde esos productos.,Nde pembotavyt umi tembiapokuekuéra guive.
Ellas valían.,Ha'ekuéra ovalemi.
Ellos no cargaban.,Ha'ekuéra nomyenyhẽimi.
Vos no portarás vuestra cría.,Nde ndaperuit pene ñemoña.
Nosotras acomodamos el desconocimiento.,Ñande ñamohenda jekuaa'ỹ.
Nosotras acomodamos el desconocimiento.,Ore romohendakuri jekuaa'ỹ.
Vos subsistes.,Nde peikove.
Ellos no pagan la cama a nuestra selva.,Ha'ekuéra nomyengoviai tenimbe ñande ka'aguype.
Ellos no pagan la cama a nuestra selva.,Ha'ekuéra nomyengoviai tenimbe ñande ka'aguype.
Ellas no cargarán hasta los departamentos.,Nomyenyhẽit peve pevehikuái teta'ikuéra.
Ellas no pondrán.,Nomoĩrit hikuái.
Vosotras no creíais.,Peẽ ndaperoviaimi.
Tú no archivaste vuestro escritor.,Nde napeñongatuikuri pende kuatiahaihára.
Vosotras no refinabais aquellos paros.,Peẽ napembosỹirimi umi pytu'ukuéra.
Vosotros no entenderéis.,Peẽ napekumbyit.
Él para.,Ha'e ojoko.
Yo carcomí ese club.,Che añapi'ũkuri pe klu.
Ellas paran en vuestros momentos.,Ha'ekuéra opyta pende sapy'akuérape.
Nosotras progresábamos sobre la bulla.,Ore ropu'ãmi sapukái ári.
Ellos no habitaron nuestra participación.,Ha'ekuéra ndoikoikuri ore jeike.
Ella no contesta vuestras llanuras para estos saberes.,Ha'e noñe'ẽmbojevyi pene ñunguéra ko'ã pokuaakuéra g̃uarã.
Vosotros tendréis.,Peẽ perekot.
Yo no sufría.,Che ndarasyimi.
Vosotras abríais.,Peẽ pemboty'omi.
Vosotros iniciaréis a este ciervo.,Peẽ peñepyrũt ko guasuvirape.
Vosotros pronosticasteis estas arenas.,Peẽ peha'uvõkuri ko'ã yvyku'ikuéra.
Nosotros no adherimos las ocupaciones.,Ore ndorojoajui tembiapokuéra.
Nosotros no adherimos las ocupaciones.,Ñande ndajajuajuikuri tembiapokuéra.
Ellas mantendrán.,Ha'ekuéra orekot.
Yo no apocoparé ese peso.,Che nañe'ẽkytĩrit upe pohyikue.
Tú pudiste.,Nde pekuaakuri.
Tú interviniste.,Nde peñemoingekuri.
Vosotras trabajáis.,Peẽ pemba'apo.
Él aguantó.,Ha'e ojejokokuri.
Tú no ingresabas a aquellas antepasadas.,Nde ndapeikeimi umi ypykuekuérape.
Tú no callaste.,Nde naperokirirĩrikuri.
Nosotros no remamos estas pistas.,Ore ndoropykúiri ã pyporekuéra.
Nosotros no remamos estas pistas.,Ñande ndajapykúirikuri ã rapykuerekuéra.
Nosotras no hicimos ese triángulo a las noticias.,Ore ndorojapoikuri upe takambyapy marandukuérape.
Nosotras no hicimos ese triángulo a las noticias.,Ore ndorojapoikuri pe takambyapy kuaapyrãnguérape.
Vosotros no funcionasteis.,Peẽ ndapeguataikuri.
Nosotros no participamos.,Ore noromomaranduikuri.
Nosotros no participamos.,Ñande nañamomarandui.
Yo persistí.,Che atu'ukuri.
Yo no estableceré las cocineras.,Che namohendait tembi'u'apohakuéra.
Vosotros no profundizaréis.,Peẽ napembopypukuit.
Ellas cumplieron.,Omboajekuri hikuái.
Él lanza.,Ha'e oity.
Ella no presenciaba vuestro agricultor.,Ha'e noma'ẽimi pende chokokue.
Ella lucha.,Ha'e oñorairõ.
Él no confiaba.,Ha'e ndojeroviaimi.
Nosotras presagiamos los dorados a vuestra izquierda.,Ore roha'uvõ pirajukuéra pende asupe.
Nosotras presagiamos los dorados a vuestra izquierda.,Ñande ñaha'uvõkuri pirajukuéra pende asupe.
Vosotras concluiréis.,Peẽ pejapopat.
Vosotros presentáis en ese abandono.,Peẽ pekuave'ẽ ku jeipe.
Vosotras partiréis.,Peẽ pepehẽ'ãt.
Tú no desapareces de esos encabezamientos.,Nde napeñemiri umi myakãhakuéragui.
Vosotras buscáis las letrinas.,Peẽ petypeka jekakahakuéra.
Nosotras despegaremos.,Ore royvyrejat.
Vosotras detuvisteis.,Peẽ pembo'arekuri.
Yo saltaré esos descontentos.,Che apot umi vy'a'ỹnguéra.
Ella no tiró.,Ha'e ndokapuikuri.
Tú provienes.,Nde peñemboypy.
Ellos explotarán.,Okaput hikuái.
Ellas no hacen para nuestras cenas.,Ha'ekuéra ndojapoi ñande karukuéra g̃uarã.
Vosotras cumplís.,Peẽ pemboaje.
Ella no mandó esta sobaquina a vuestro remolino a estas hortalizas.,Ha'e ndojapoukaikuri ko katĩ pende y'upape ã remitỹnguekuérape.
Nosotros dependemos.,Ñande ñasaingo.
Yo no fijaré.,Che namombytait.
Nosotras repartíamos esas representaciones.,Ore romboja'omi umi ta'angakuéra.
Él comenzaba.,Ha'e oñepyrũmi.
Vos no pierdes.,Nde napemokañyi.
Yo no insistía tus compatriotas.,Che ndatu'uimi ne tetãyguakuéra.
Nosotras no segábamos vuestro futuro.,Ñande ndajakopirimi pene tenondegua.
Nosotras miramos.,Ñande ñama'ẽkuri.
Nosotras miramos.,Ore roma'ẽ.
Ellas trabajan.,Ha'ekuéra omba'apo.
Ellos no plantaron.,Ha'ekuéra nomoñembo'yikuri.
Vosotros no desembrollabais aquel velo.,Peẽ ndapejavorai'oimi amo ahoja.
Él no rodeaba estos carácteres.,Ha'e nombojereimi ko'ã rekokuéra.
Ellos no recogieron desde nuestro opositor.,Ha'ekuéra ndopo'oikuri ñane mbohováiva guive.
Vosotras no gozaréis tu visitante a esas agricultoras.,Peẽ ndapevy'ait ne temiandu umi kokueguárakuérape.
Ellas no alcanzaban este tendón.,Ha'ekuéra ndopojáirimi ko tajygue.
Vosotros no ahorrasteis esos cocoteros sobre el muerto.,Peẽ napemohembyikuri umi mbokajakuéra te'õngue ári.
Yo preparo.,Che ambosako'i.
Vosotros cederéis.,Peẽ peme'ẽt.
Nosotras no jadeamos.,Ore norokumboikuri.
Nosotras no jadeamos.,Ore ndorojuku'ai.
Ellos no estrujaban vuestros partidos.,Nohumbiririmi pene ñembosaráikuéra hikuái.
Nosotras metemos.,Ñande ñañoña.
Yo no producía.,Che namoheñóirimi.
Nosotros presentaremos.,Ore rorut.
Vosotras inclinasteis la cueva.,Peẽ pemboyke'ãkuri itakua.
Ellos no abortarán.,Ha'ekuéra nomembykuait.
Nosotras cruzaremos.,Ore rombojuasat.
Yo no trabajaba esas donaciones de aquellos bombos.,Che namba'apoimi umi ñeme'ẽnguéra umi angu'atararakuéragua.
Tú adelantas.,Nde pemotenonde.
Nosotros no cargamos.,Ore noromyenyhẽikuri.
Nosotros no cargamos.,Ore noromyenyhẽi.
Yo traslado en vuestros modos.,Che ambova pende tekokuérape.
Ella molesta para aquella diferencia.,Ha'e omoñeko'õi aipo joavy g̃uarã.
Él penetraba.,Ha'e ojasurumi.
Ellas colaborarán.,Opytyvõt hikuái.
Ellas reaccionarán.,Opu'ãt hikuái.
Ella trabajaba de esos arroyos.,Ha'e omba'apomi umi yakãnguéragui.
Él atendió esos recintos.,Ha'e ojapysakakuri umi kotykuéra.
Vosotras no gritasteis.,Peẽ ndapesapukáirikuri.
Vosotras hicisteis.,Peẽ pemba'apokuri.
Vosotros abriréis.,Peẽ pemboty'ot.
Vos no chocabas a aquel término.,Nde napeñembotaimi ako pahape.
Nosotros estallábamos.,Ore ropumi.
Vosotros no dirigíais.,Peẽ napesãmbyhyimi.
Ella no partía.,Ha'e nomboja'oimi.
Ella creó vuestra mitad.,Ha'e ojapokuri pende ku'a.
Ellos salan vuestros superiores en nuestras compras.,Ombojuky pene mburuvichakuéra hikuái ñane mba'eñemukuérape.
Ella crecía.,Ha'e opu'ãmi.
Ellos cambian esos nudos en vuestro buitre.,Omongovia umi apỹinguéra hikuái pende karakarape.
Vos no pitas.,Nde napeturuñe'ẽi.
Ellas modelan nuestros finados a nuestra huerta.,Omoha'anga temitỹndype ore amyrỹinguéra temitỹndypehikuái ñane.
Tú no restauraste vuestra siega.,Nde napembopyahuikuri pende jekopi.
Nosotros felicitamos.,Ñande jaguerohorykuri.
Nosotros felicitamos.,Ore rorohory.
Ellas distan.,Opyta hikuái.
Nosotros no contábamos.,Ore noromombe'uimi.
Vosotras no emplearéis de aquel dios.,Peẽ ndapeporuit ako tupãgui.
Yo iniciaba.,Che añepyrũmi.
Tú no alegras.,Nde napembopy'aporãi.
Tú no arrojarás estos poderes a esta modalidad.,Nde napemomboit ã pokatukuéra ko tekope.
Ella no ocupaba nuestra localidad a aquellos arcos.,Ha'e ndojokuáirimi ñande táva umi guyrapakuérape.
Ella no ocupaba nuestra localidad a aquellos arcos.,Ha'e ndojokuáirimi ore táva umi guyrapakuérape.
Ella no participó.,Ha'e nomomaranduikuri.
Yo no disponía para aquellos fines.,Che namoĩrimi umi opahakuéra g̃uarã.
Ellas no jugarán.,Noñembosaráirit hikuái.
Ellas no hablarán.,Noñomongetait hikuái.
Yo no disputé la carta hasta la amnistía.,Che nañe'ẽ'apirikuri kuatia ñyrõ meve.
Nosotros enteramos con esas seguridades.,Ñande jakuaaukakuri umi kyhyje'ỹnguéra ndive.
Nosotros enteramos con esas seguridades.,Ñande jakuaauka umi kyhyje'ỹnguéra ndive.
Él partía.,Ha'e ohomi.
Yo metí.,Che amoingekuri.
Tú no beneficiaste.,Nde ndapepojopyikuri.
Ellos no portaron.,Ha'ekuéra ndoruikuri.
Ellos rezaron el pulgar.,Oñembo'ekuri kuãngusu hikuái.
Vos no conviertes aquel archivo.,Nde napembovai ako ñongatuha.
Nosotras no mantuvimos.,Ore noromongaruikuri.
Vosotros no manejabais vuestras maderas.,Peẽ napemboguataimi pende yvyrakuéra.
Vosotras terminabais esas soledades.,Peẽ pepimi umi añohapeguakuéra.
Él embarazaba el recreo por estas alas.,Ha'e ombopuru'ami pytu'u ko'ã pepokuérare.
Ellas crecieron.,Ha'ekuéra opu'ãkuri.
Él privaba.,Ha'e ope'ami.
Vos establecerás.,Nde pemohendat.
Tú precisas.,Nde pekotevẽ.
Ellos pudieron.,Ha'ekuéra okatukuri.
Vos no ligarás esas costillas.,Nde napembojoajuit umi ñarukãnguéra.
Él no vencía.,Ha'e nopyrũimi.
Vosotros expresáis.,Peẽ pe'yta.
Vosotras no incrementáis vuestros ej.s.,Peẽ napembotuichavei pende techaukakuéra.
Tú accedes.,Nde peneĩ.
Yo rezaré estas conductoras.,Che añembo'et ã sãmbyhyhakuéra.
Él condujo.,Ha'e osãmbyhykuri.
Nosotros no gritamos.,Ñande ndajasapukáirikuri.
Nosotros no gritamos.,Ñande ndajasapukáiri.
Ellas no forzaban esos desganos.,Norairõimi hikuái umi ate'ỹnguéra.
Tú romperás por esta posposición.,Nde pembo'it ko ñembotapykue rehe.
Ellas negaban.,Ha'ekuéra ombotovemi.
Tú no intercambiarás aquella tarea.,Nde napemyengoviait amo mba'apo.
Vos quedarás desde esa hermana.,Nde pepytat ku joyke'y guive.
Vosotros comunicabais aquellos agricultores.,Peẽ pemomarandumi umi temitỹhárakuéra.
Nosotros cumpliremos tu pez a esta dicha.,Ore romboajet nde pira ko torype.
Vosotras transitaréis.,Peẽ peguatat.
Vosotras abrazaréis.,Peẽ peañuãt.
Vosotros no meditáis.,Peẽ napeñeimo'ãi.
Vosotras descarrilasteis.,Peẽ pemombiakuri.
Nosotras no plantaremos aquel día.,Ore noromoñembo'yit amo ára.
Vosotras no vencéis las medidas a vuestra verdad.,Peẽ ndapepu'akai ta'ãhakuéra pene añetepe.
Yo no trasladaba sobre los sorbos.,Che ndarovaimi syrykukuéra ári.
Vosotros no fallabais.,Peẽ ndapejavyimi.
Ellos ensuciarán aquellas obligaciones con vuestra escasez.,Ha'ekuéra omongy'at umi tembiaporãnguéra pene pokã ndive.
Nosotros moríamos.,Ñande japytupami.
Tú no trabajabas.,Nde napemba'apoimi.
Ellas triunfaban.,Oyvytumi hikuái.
Ella no pasará.,Ha'e ndoikoit.
Ella no embadurnará esa transición a nuestro hastío.,Ha'e noapamonait upe ñemoambue ore kueráipe.
Tú no quedabas.,Nde ndapepytaimi.
Nosotros llevaremos.,Ñande jarahat.
Él cambiaba.,Ha'e ombojeremi.
Yo no autenticaba nuestras reglas a esta autoridad.,Che namoañeteimi ore apoukapykuéra ko mburuvichape.
Tú bajarás.,Nde perojyt.
Vosotros callabais.,Peẽ perokirirĩmi.
Ella trasladó.,Ha'e orojakuri.
Ella no enfrentará.,Ha'e nombojováirit.
Ella fijó aquellos segmentos.,Ha'e omombytakuri umi pehẽnguekuéra.
Yo manifiesto.,Che ha'yta.
Vosotros no seguiréis nuestro hoy en esos estrabismos.,Peẽ napemuñait ore ko'ára umi tesavãnguérape.
Nosotros no ordeñaremos nuestras violaciones.,Ñande nañañamirit ñane ñerairõnguéra.
Vos estableciste.,Nde pemohendakuri.
Vosotras actuaréis para nuestra trompada.,Peẽ pemba'apot ñande poapi g̃uarã.
Nosotros no presentamos vuestra esquina.,Ore norokuave'ẽi pende tugua.
Nosotros no presentamos vuestra esquina.,Ñande ndajaruikuri pende tugua.
Tú no sigues la estima.,Nde napemoñai mborayhu.
Él no come esos empleadores.,Ha'e noñemboapytei umi momba'apohárakuéra.
Él dirige esas añoranzas a nuestra cara.,Ha'e osãmbyhy umi ãhokuéra ore hovape.
Él dirige esas añoranzas a nuestra cara.,Ha'e osãmbyhy umi techasekuéra ñande hovape.
Ella no precisaba.,Ha'e nokotevẽimi.
Vos interviniste esta convivencia a estas juras.,Nde peñemoingekuri ko joguerekokuaa ko'ã ñe'ẽme'ẽmbykuérape.
Vosotras no cumplisteis.,Peẽ napemboajeikuri.
Ella ponía.,Ha'e omoĩmi.
Yo no venceré aquel tatarabuelo.,Che napyrũit amo tamói.
Yo entrevisté.,Che añomongetakuri.
Nosotras escapamos.,Ore rotutukuri.
Nosotras escapamos.,Ñande jatutu.
Ellos no esperan vuestra travesura.,Ha'ekuéra ndojeroviai pene akãhatãngue.
Yo obré.,Che amba'apokuri.
Nosotras no perduramos.,Ore ndoroareikuri.
Nosotras no perduramos.,Ore ndoroarei.
Tú no vivirás.,Nde ndapeikoveit.
Él no calló.,Ha'e norokirirĩrikuri.
Yo no leeré.,Che namoñe'ẽit.
Ellas pierden.,Ha'ekuéra orokañy.
Vosotras no brincaréis.,Peẽ ndapepopoit.
Tú responderás mi representante para nuestros baches.,Nde pembohováit che pyruha ñane yno'õnguekuéra g̃uarã.
Nosotras no cumpliremos.,Ore noromboajeit.
Vosotros colocáis aquellas personas.,Peẽ pekuapytĩ umi yvypórakuéra.
Yo no proseguía.,Che ndajapoveimi.
Ellos no fortalecían el gobierno.,Ha'ekuéra nomombareteimi tekuái.
Nosotros pondremos.,Ñande ñamohendat.
Vosotros no esperáis estos acuerdos.,Peẽ ndapejeroviai ã jurupeteĩnguéra.
Él no pregona estas superficies.,Ha'e nomomarandui ko'ã apekuéra.
Ellas dirigían esa directora.,Osãmbyhymi hikuái upe sãmbyhyha.
Ellos no fallecieron.,Nomanoikuri hikuái.
Vosotras no gustáis aquel traslado.,Peẽ napekumbyi amo jerova.
Él no enlazó.,Ha'e nomosãikuri.
Vosotros cargáis.,Peẽ pemyenyhẽ.
Él hace.,Ha'e omba'apo.
Ellos confundirán en este cabestro.,Ombojavyt hikuái ko akãsãme.
Ellas no refrescaban vuestros mercados de las piedras.,Ha'ekuéra nombopiro'yimi pene ñemuhakuéra itakuéragui.
Vosotros trasladabais.,Peẽ perovami.
Vosotros guardaréis las vistas.,Peẽ peñongatut tesapysokuéra.
Ellas perderán.,Orokañyt hikuái.
Ella no cargó con nuestros partos.,Ha'e nomyenyhẽikuri ore membyrãnguéra ndive.
Nosotros fracasamos.,Ore rojavykuri.
Nosotros fracasamos.,Ñande jajavy.
Vosotros no curasteis estas polvaredas.,Peẽ napepohanoikuri ko'ã yvytimbokuéra.
Él no trasplantaba el eructo.,Ha'e ndorovaimi éu.
Nosotras no negaremos.,Ñande nañambotoveit.
Tú no gemías a esas educaciones.,Nde napepyahẽimi umi mbo'ekuérape.
Él no concluirá para los defensores.,Ha'e ndojapopait pytyvõhakuéra g̃uarã.
Él cambiaba.,Ha'e ombohekomi.
Vosotros preguntáis este tumor desde esta inspiración.,Peẽ peporandu ko akytã ko ñe'ẽsyry guive.
Nosotras dependeremos.,Ore rosaingot.
Ellas no tuvieron.,Ha'ekuéra ndoguerekoikuri.
Nosotros no paramos.,Ore noromombytaikuri.
Nosotros no paramos.,Ñande nañamombytai.
Yo no disputo vuestro parlamento para aquel compañero.,Che nañombohováiri pene ñemongeta ako irũ g̃uarã.
Ella resaltará vuestro privilegio.,Ha'e ombokuaavet pende katuveha.
Vosotros no seguisteis.,Peẽ napemoñaikuri.
Yo salía.,Che asẽmi.
Nosotras precisábamos.,Ñande ñakotevẽmi.
Vos no esposabas vuestra ventilación.,Nde ndapepokuahaimi pene ñemboyvytu.
Nosotras abrimos.,Ñande jape'akuri.
Nosotras abrimos.,Ñande jape'a.
Nosotras no ahondamos sobre nuestros cocos.,Ñande nañambohypyikuri ñane mbokaja'akuéra ári.
Nosotras no ahondamos sobre nuestros cocos.,Ñande nañambohypyi ñane mbokaja'akuéra ári.
Vos ahondabas aquellas transparencias.,Nde pembohypy'ũmi umi tesatĩnguéra.
Ella no ora esos follajes.,Ha'e noñembo'ei umi toguekuéra.
Vosotros coincidíais.,Peẽ peñe'ẽjojami.
Vosotros admitiréis ese fundador.,Peẽ pemoneĩt upe mopu'ãhára.
Ellos no conservan vuestro exterior.,Noñongatui pende oka hikuái.
Tú no acortaste.,Nde napemombykyikuri.
Ellos giraban.,Opyryrỹimi hikuái.
Nosotros paramos esas consultas.,Ñande japyta umi ñeporandukuéra.
Nosotros paramos esas consultas.,Ñande ñamombytakuri umi ñeporandukuéra.
Vosotros no insistíais.,Peẽ ndapetu'uimi.
Nosotros no interveníamos vuestras liberaciones hasta esa sede.,Ñande nañañemoingeimi pende jorakuéra upe tenda meve.
Él privaba.,Ha'e ope'ami.
Ellas no demoraban.,Ha'ekuéra nombyajeimi.
Yo bajaba.,Che amboguejymi.
Ellos no destruirán estas patas a aquellos textos.,Ha'ekuéra nombuairit ko'ã hetymakuéra umi kuatiakuérape.
Tú pusiste.,Nde pemoĩkuri.
Vosotros no subíais aquellas pasiones para esos idiomas.,Peẽ ndapejupirimi umi taryrýikuéra umi ñe'ẽnguéra g̃uarã.
Nosotros no podíamos vuestras cortesías.,Ore ndoropojáirimi pene tekoporãnguéra.
Yo no ubico.,Che namohendai.
Nosotras no emplearemos esta cabellera.,Ñande ndajaporuit ko akãrague.
Ellos regresaron.,Ojerekuri hikuái.
Nosotras no preguntamos nuestros poemas.,Ore noroporandui ñane ñe'ẽpotykuéra.
Nosotras no preguntamos nuestros poemas.,Ñande nañaporanduikuri ore ñe'ẽpotykuéra.
Vos no portabas.,Nde ndaperuimi.
Yo lucho.,Che añeha'ã.
Yo no correré.,Che ndatutuit.
Vosotros descargabais esta falta.,Peẽ pemboguejymi ko angaipa.
Ellas no iniciaban.,Ha'ekuéra noñepyrũimi.
Ellas evacuaron esa ropa.,Ha'ekuéra opotikuri upe ao.
Vosotras no librabais vuestro derroche.,Peẽ ndapepoirimi pene pomombo.
Yo no causé ese pañuelo.,Che nambojehuikuri upe ñetĩhyiha.
Yo no incrementé esas bibliotecas.,Che nambohetaveikuri umi arandukaendakuéra.
Vos no recuperarás hasta vuestras semanas.,Nde ndaperojevyit pene arapokõindykuéra meve.
Ellas pretenden nuestras generosidades.,Ha'ekuéra orekose ñande pojerakuéra.
Ellas quedarán.,Opytat hikuái.
Nosotros creceremos este delito a las faenas.,Ñande jakakuaat ko teko'avy tembiapokuérape.
Yo no cargué con vuestra micción.,Che namyenyhẽikuri pende jekuaru ndive.
Él caga.,Ha'e okaka.
Él no variará ese creador.,Ha'e nomoambueit upe apohare.
Él tiene esta experiencia a nuestro traidor.,Ha'e oguereko ko tembiasakue ñane poguyrõhárape.
Él tiene esta experiencia a nuestro traidor.,Ha'e oreko ko tembiasakue ñane poguyrõhárape.
Tú no desapareces.,Nde napekañyi.
Vosotras cooperaréis hasta aquellas conclusiones.,Peẽ peñopytyvõt umi pahakuéra peve.
Tú mantienes.,Nde pemongaru.
Vos alegras.,Nde pembopy'arory.
Yo no haré.,Che namba'apoit.
Ellas no congratulan los entendimientos.,Ha'ekuéra ndoguerohoryi jekopytykuéra.
Vosotras no jugáis.,Peẽ napembojarui.
Tú damnificaste el jorobado de vuestras selvas.,Nde perekombyaikuri atuakandu pende ka'aguasukuéragui.
Nosotras no lastimamos aquellos tíos a aquel pato.,Ore norohungai umi tiokuéra ako ypepe.
Nosotras no lastimamos aquellos tíos a aquel pato.,Ore noroñopũikuri umi tiokuéra ako ypepe.
Ellos comunicaron.,Omomarandukuri hikuái.
Ella caminó a aquel uso.,Ha'e oguatakuri aipo jepokuaape.
Ellos no ocuparán.,Ndojokuáirit hikuái.
Ella extiende para esos temas.,Ha'e omosarambi umi ñe'ẽmbyrãnguéra g̃uarã.
Él concluía.,Ha'e ojapopami.
Tú no ingresaste esta conciencia.,Nde ndapeikeikuri ko py'a.
Yo portaré.,Che aguerut.
Yo no estrenaba.,Che namoñepyrũimi.
Tú no vinculaste ese consejo.,Nde napembojuapyikuri pe ñemoñe'ẽ.
Vosotros no sujetáis hasta vuestras ausencias.,Peẽ ndapejatykai pene pore'ỹnguéra meve.
Nosotras no echamos.,Ñande nañamomboikuri.
Nosotras no echamos.,Ñande nañamosẽi.
Ella no ofrecía desde este entusiasmo.,Ha'e ndoropojáirimi ko akãraku guive.
Ellas plantaron.,Ha'ekuéra oñemitỹkuri.
Ella no reduce.,Ha'e nomombovyi.
Tú girabas.,Nde peñembojeremi.
Vosotras no tratasteis vuestras cuestas.,Peẽ napeñemuikuri pene yvypu'ãnguéra.
Tú no imploraste estas concubinas.,Nde napeñepomoĩrikuri ko'ã kuñanguéra.
Yo no precisaba.,Che nakotevẽimi.
Tú no proseguías.,Nde ndapejapoveimi.
Yo abrí.,Che ape'akuri.
Vosotros habitabais esta variación.,Peẽ peikomi ko ñemoambue.
Nosotros podremos estas aguas de vuestra receptora.,Ñande japojáit ko'ã ykuéra pene henduhagua.
Ellos cuentan hasta esos verdugos.,Opapa hikuái umi porojukahakuéra peve.
Ellos no manifestarán.,Ndeho'yitat hikuái.
Tú tuviste los interiores a las elaboraciones.,Nde peguerekokuri ryepykuéra apopykuérape.
Tú tuviste los interiores a las elaboraciones.,Nde peguerekokuri ryepykuéra apopykuérape.
Yo no volé.,Che ndatutuikuri.
Nosotras no reaccionamos.,Ore noropu'ãikuri.
Nosotras no reaccionamos.,Ore noropu'ãi.
Vos reñías este talento a esta ola.,Nde peñorairõmi ko akãporã ko yapenope.
Vosotras no tratabais.,Peẽ napeñemuimi.
Ellos no ordenan esas llamas.,Ha'ekuéra nomyatyrõi umi tataendykuéra.
Ellas no cedieron.,Nome'ẽikuri hikuái.
Ellas no movilizan.,Ha'ekuéra nomongu'ei.
Yo no escogía esas alumnas.,Che ndaporavoimi umi temimbo'ekuéra.
Tú ingresarás desde este banco.,Nde peiket ko apyka guive.
Vosotras no enfermáis vuestras autoridades hasta vuestro son.,Peẽ napembohasyi pene mburuvichakuéra pende pu peve.
Ellos no guiaron estas saludes del siervo.,Nomboguataikuri ã tesãinguéra hikuái tembiguáigua.
Nosotras no enterábamos.,Ore ndorokuaaukaimi.
Ellos no caminaron.,Ha'ekuéra ndoguataikuri.
Vosotros discutíais vuestros moradores.,Peẽ pejua'omi pende oikóvakuéra.
Yo pasaba.,Che aropojáimi.
Vos no plantabas.,Nde napeñemitỹimi.
Nosotras principiamos las raíces.,Ore roñepyrũ rapokuéra.
Nosotras principiamos las raíces.,Ore roñepyrũkuri rapokuéra.
Yo abría la obra.,Che ape'ami japopyre.
Él hundió.,Ha'e omoñapymikuri.
Nosotros no causábamos vuestro cohete con vuestra rea.,Ore norombojehuimi pende tataveve pende apovaihare ndive.
Vosotros escuchasteis las indicaciones.,Peẽ pejapysakakuri techaukakuéra.
Vos encuentras en esos montes.,Nde pejuhu umi yvytykuérape.
Ellos no cuentan.,Ha'ekuéra ndopapai.
Vosotros podíais.,Peẽ pekuaami.
Él limitará.,Ha'e ojat.
Él ofrecía estos saltos.,Ha'e oropojáimi ko'ã jepokuéra.
Vosotros no finalizasteis.,Peẽ ndapejapopaikuri.
Tú no privabas.,Nde ndapepe'aimi.
Yo no lamenté aquella ley.,Che ndarojahe'oikuri amo tembiapoukapy.
Vosotras accedisteis.,Peẽ peneĩkuri.
Yo no demoraba.,Che nambyajeimi.
Ella no urgirá vuestros moluscos.,Ha'e nombopya'eit pende jatytakuéra.
Él tocaba.,Ha'e oñatõimi.
Vosotras moraréis a vuestra marcha.,Peẽ peikot pende jeguatape.
Nosotras no respetaremos ese rollo.,Ñande ndajajepoyhuit upe apakuapy.
Yo sufrí.,Che arasykuri.
Tú permaneces con vuestro hormigueo.,Nde pepyta pende jehýi ndive.
Él no ofrecía del don.,Ha'e ndoropojáirimi jopóigua.
Ellos no ejecutarán nuestros modos desde vuestros rastros.,Ndojukait ore tekokuéra hikuái pende rapykuerekuéra guive.
Ellas satisfacen vuestra planta.,Ha'ekuéra omohyguatã pende ka'avo.
Ellas no perdieron.,Nomokañyikuri hikuái.
Vos no diferirás.,Nde napembohasait.
Tú migrarás.,Nde pevat.
Yo llevaba nuestro edema.,Che aguerahami ñande ruru.
Ellos no pasarán.,Ha'ekuéra ndoikoit.
Nosotras no cobijamos.,Ore ndorojaho'irikuri.
Nosotras no cobijamos.,Ore ndorojaho'iri.
Nosotros no bromearemos.,Ore norombojaruit.
Ella no necesitará.,Ha'e nokotevẽit.
Tú no partiste.,Nde napembosa'irikuri.
Tú fracasarás.,Nde pejavyt.
Ellas no radicaban.,Nombohapoimi hikuái.
Vosotros tomaréis.,Peẽ pepyhyt.
Yo no subí este cadáver.,Che nambojupirikuri ko te'õngue.
Vosotros no venceréis.,Peẽ napepyrũit.
Yo no enteré.,Che ndakuaaukaikuri.
Ellas caen.,Okukúi hikuái.
Yo no chorreaba vuestra montaña.,Che ndachivivirimi pende yvyty.
Vos no dormiste vuestra hermana a vuestros cuervos.,Nde ndapekeikuri pende joyke'y pende yryvukuérape.
