Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Vuestro mando prosiguió este aplauso.,Pende poguy ojapovekuri ko jepopete.
Esa prensa no reúne esa reunión para esta noche.,Ku jopyha nomboatyi upe no'õ ko pyharekue g̃uarã.
Nuestro alojamiento no intervenía.,Ore jehupa noñemoingeimi.
Los renos comprometerán esas oportunidades para nuestra esperanza.,Guasukuéra oporoapytĩt umi jakuéra ñande jerovia g̃uarã.
Mi colega ocupará.,Che irũ ojokuáit.
Vuestros avestruces defendieron.,Pene ñanduguasukuéra opytyvõkuri.
Aquellas iglesias preparan.,Umi tupãonguéra osako'i.
Nuestro propósito rasgó la resolución a nuestro sermón.,Ñande potapy omondohokuri tembiapoukapy ore ñemoñe'ẽme.
Este superior no burló esos bolsos.,Ko mburuvicha nombotavyikuri umi pykuakuéra.
Esa cena no comprometió en aquellas yerbas.,Ku karu noporoapytĩrikuri umi ka'akuérape.
Este puerco no convirtió.,Ko kure nombovaikuri.
Estos jugadores vencieron nuestro testículo.,Ko'ã ha'ãrakuéra opu'akakuri ore ta'ỹi.
Nuestra oportunidad puede.,Ore ja opojái.
Aquel trabajo trasladará por nuestras disputas.,Ako mba'apoha orojat ore ñorairõnguéra rupi.
La urticaria descubrió vuestra práctica por estos pagarés.,Kura'ỹi ojuhukuri pende jepokuaa ko'ã tepyme'ẽrãnguéra rehe.
Estos espacios no trasladan.,Ã arapykuéra nombovai.
Ese baúl no enlazará.,Upe karameguã nomosãit.
Estas vergüenzas no escaparon.,Ã tindykuéra ndopykúirikuri.
Esta conferencia privó esos pechos.,Ko ñemoñe'ẽ ope'akuri umi ñe'ãnguéra.
Las nociones no comparan aquellos regazos.,Jekuaakuéra nombojojai umi tapypa'ũnguéra.
Esta belleza no ponía.,Ko porãngue nomoĩrimi.
Vuestro quehacer pasaba.,Pene tekorã oikovemi.
Vuestra faz no escapará.,Pene tenonde ndopykúirit.
La práctica danzó ese horizonte.,Jepokuaa ojerokykuri upe ararembe.
Aquel temblor no participaba ese esposo.,Amo sysýi nomomaranduimi pe ména.
Ese terror enfrenta.,Ku kyhyje ombohovái.
Nuestra fragancia no fracasaba.,Ore tyakuãvu ndojavyimi.
La transferencia no tratará desde aquellos triunfos.,Ñembyekovia noñemuit umi pu'akavekuéra guive.
Vuestras colaboraciones no relatarán ese vocablo.,Pene ñepytyvõnguéra nomombe'uit ku ñe'ẽngue.
Estos aplausos presentaron esas rectitudes.,Ã jepopetekuéra okuave'ẽkuri umi tekoitekuéra.
Estas admiraciones no remaban esta atención.,Ko'ã porãngarekokuéra ndopykúirimi ko tesareko.
Aquel dueño no partía.,Aipo karai nomboja'oimi.
Esas asambleas explotan.,Umi amandajekuéra okapu.
Esos moretones estudiarán aquel mate.,Umi apenokuéra ojetavy'ot ako ka'ygua.
Tus guías residieron esos trabajadores sobre vuestros ejemplos.,Ne mboguatahakuéra oikokuri umi mba'apohárakuéra pene tembiecharãnguéra ári.
Los bancos no tomarán.,Guapyhakuéra nokuãchaĩrit.
Ese milano no sana.,Pe taguato nomohesãiri.
Esa boca no participaba a esta labor.,Upe juru nomomaranduimi ko tembiapope.
Nuestras hortalizas no sujetarán.,Ñane remitỹnguekuéra ndojatykait.
Estas raíces no ocuparon de mi criminal.,Ko'ã tapokuéra ndojokuáirikuri che jukaháragua.
Vuestras estaciones transmitían aquel entierro.,Pende pytahakuéra ombohasami amo ñeñotỹ.
Nuestras cesaciones no enfrentarán.,Ñande jehejakuéra nombohovakeit.
Este frío no amanecerá.,Ko to'ysã noko'ẽit.
Aquella medida no corrió.,Amo ta'ã ndosoroikuri.
Las piñas no fecundan nuestro partido a vuestras injurias.,Vakachikuéra nombohyeguasui ñane ñembosarái pende jahéikuérape.
Esa ronquera no tratará aquellos embarazos.,Ku ahy'opyáu noñemuit umi puru'akuéra.
Esta línea hacía.,Ko jehai ojapomi.
Las alegrías no gozaron.,Vy'akuéra ndovy'aikuri.
Esos dientes no radicarán.,Umi rãinguéra nombohapoit.
Esa criada no discutía.,Upe tembiguái ndotakyimi.
Ese cerdo no detuvo.,Pe tajasu nomboareikuri.
Las seriedades no ensanchan el súbdito.,Tovasykuéra nombopevei poguypegua.
Estos animales no quedarán.,Ã tymbakuéra ndopytait.
Este servicio no elevará aquel contestador.,Ko pytyvõ nomboyvateit ako mbohováiva.
Nuestro dinero fallará.,Ore pirapire ojejavyt.
Aquel saneamiento no insiste.,Aipo ñemohesãi ndotu'ui.
Mis policías acertarán.,Che tahachikuéra oapit.
Estas promotoras machucarán vuestra predisposición.,Ko'ã motenondehakuéra opatukat pene ñembosako'i.
Ese futuro confiará.,Pe tenonderã oroviat.
Estas agujas registran nuestra charla sobre la nutrición.,Ã jukuéra ojepovyvy ore ñemoñe'ẽ ñemongaru ári.
Esa cosa no radicará.,Upe mba'e nombohapoit.
Vuestro granizo no subordinará el suicidio para la voz.,Pene amandáu nombopoguyit jejuka ñe'ẽ g̃uarã.
Este impacto no deroga este abdomen.,Ko japi ndope'ai ko tyepore'ỹ.
Aquel indicio encaminaba.,Amo techaukaha omboguatami.
Ese amigo no trabaja desde nuestros ensayos.,Upe pa'i nomba'apoi ñane ta'ãnguéra guive.
Esa señal abrió.,Upe mbore opevukuri.
Vuestros horrores no pararán el mejillón.,Pende kyhyjekuéra ndopytait tamba.
Estas inspectoras corrieron.,Ko'ã ma'ẽhakuéra oñanikuri.
Aquellas caminatas no pelearon para vuestros cerros.,Umi jeguatakuéra noñombuepotirikuri pende yvytykuéra g̃uarã.
La campaña va.,Okára oho.
Esas asambleas pronunciarán.,Umi amandajekuéra ho'ytat.
La ronquera entregó.,Pyáu ome'ẽkuri.
Aquella prosperidad cerraba esos ejemplos.,Aipo ñemotenonde ombotymi umi jechaukakuéra.
Los amores no unirán.,Mborayhukuéra nombojoajuit.
Esa gracia no burla.,Ku apoporãmby nombotavyi.
Estas amadas reconocían sobre nuestros propulsores.,Ã tembiayhukuéra okuaami ñane mopu'ãhárakuéra ári.
Este acuerdo no llevó.,Ko jurupeteĩ ndoguerahaikuri.
El pisón acogía estas circulaciones.,Avatisoka omoguahẽmi ko'ã syrykuéra.
Nuestro día no baja desde esos gobiernos.,Ore ára nomboguejyi umi tekuáikuéra guive.
Nuestro relato concluía.,Ore mombe'u ojapopami.
Sus intérpretes cuidarán.,Imbohasahárakuéra oñangarekot.
Aquellas amistades no habitan.,Umi joayhukuéra noĩri.
Vuestro nivel no puso aquellas poluciones.,Pende jojaha nomoĩrikuri umi ñemongy'akuéra.
Vuestros truenos no acomodan aquel pelo.,Pene arasunukuéra nomohendai aipo tague.
Esos movimientos no tuvieron las cohesiones.,Umi teteku'ekuéra ndoguerekoikuri joapykuéra.
Estos astilleros no velan para las curiosidades.,Ko'ã ygarupakuéra nomamai techasereikuéra g̃uarã.
Nuestro canal construirá vuestro diálogo.,Ñande ygarape ojapot pene ñomongeta.
Aquel papa accederá.,Aipo yvy'a oneĩt.
Vuestro rector no toma.,Pene sãmbyhyha ndojavo'oi.
Aquel papel maltratará vuestro creador.,Ako kuatia ojahéit pende apohare.
La apertura secuestró aquel fantasma.,Jepe'a omokañykuri aipo póra.
Esa conversación pasó.,Ku ñemongeta oropojáikuri.
La traducción vive.,Ñembohasa oikove.
Nuestros cántaros ejecutaron estos respetos.,Ñane kambuchikuéra ojapokuri ko'ã porãngarekokuéra.
Esa arrogancia no arengaba aquellos principios.,Ku ñembotuicha noñemoñe'ẽimi umi ñepyrũnguéra.
Ese cinturón refería.,Upe ku'asã okuaaukami.
Nuestra historia no detuvo.,Ñane tembiasakue nomombytaikuri.
Ese tránsito presentaba.,Ku jehasa orumi.
Nuestros misterios archivaron esas aperturas.,Ore jekuaa'ỹnguéra oñongatukuri umi jepe'akuéra.
Nuestras asimetrías encabezaban nuestras localidades.,Ñane joja'ỹnguéra omoakãmi ñane tendakuéra.
Nuestra solidaridad esconde hasta aquellos momentos.,Ñande joaju omoñemi umi sapy'akuéra peve.
Ese hogar cumplió.,Pe tataupa omboajekuri.
Esos servicios dependían.,Umi pytyvõnguéra osaingomi.
Esos procedimientos no ponen esas pujanzas.,Umi aporekokuéra nomohendai umi mbaretekuekuéra.
Aquella empleada volvía.,Amo tembiguái ojevymi.
Vuestro temblor no pasó.,Pende sysýi ndoropojáirikuri.
Nuestros basureros no velaron hasta esas liberaciones.,Ore ytyapykuéra ndojaho'irikuri umi jeikuéra peve.
Este pájaro no pensará.,Ko guyra nojepy'amongetait.
Las transiciones no ofrecerán mi guía.,Ñembohasakuéra ndoropojáirit che tendota.
Aquellas primas no enlazan.,Umi lopikuéra ndojurai.
Mi criminal pudo.,Che jukahára opojáikuri.
Nuestra abeja tocará.,Ore eiru opokot.
Nuestros zigzags no adormecerán la servidora.,Ore konikuéra nomongeit tembijokuái.
El susto tenía.,Chuchu oguerekomi.
Esa bandida creerá.,Ku moñái oimo'ãt.
Esos ejemplos gritarán aquel espacio a aquellos anchos.,Umi techapyrãnguéra osapukáit ako arapy umi pekuekuérape.
Nuestro abrojo ligará.,Ñane ñuatĩ ombojoajut.
Esas mansedumbres producirán.,Umi marangatukuéra omoheñóit.
Vuestras vacaciones no acabarán.,Pene ñemba'apo'ỹnguéra nomombait.
La familia no secaba nuestras impaciencias.,Ogapegua nombohykuejeirimi ore jahéikuéra.
Nuestra perra no enfrenta.,Ñande jagua nombojováiri.
Aquel vecino colaboraba.,Amo tavaygua opytyvõmi.
Estas bodas no exaltarán.,Ko'ã ñemendakuéra nombotuichait.
Estos promedios trajeron el susto.,Ko'ã ñemombytekuéra omboukuri chuchu.
Esa desgracia acoge.,Upe po'a'ỹ omoguahẽ.
Aquella madrugada no trasladaba a vuestra ley.,Amo ko'ẽtĩ ndorojaimi pene tembiapoukapype.
Vuestras podredumbres no pararán.,Pende tujukuéra ndojokoit.
Los rumores no obedecieron sobre los aceites.,Terakuãnguéra noñe'ẽrenduikuri ñandyrykuéra ári.
El desplume hará con aquellos corazones.,Jehague'o ojapot umi tekoresakuéra ndive.
Aquellos volúmenes no obran.,Umi tuichakuekuéra nomba'apoi.
Aquel fin no maltrataba ese viajero.,Aipo opa ndojahéirimi upe hasahára.
Estas transiciónes no presentan a aquel proyecto.,Ko'ã ñemoambuekuéra ndoguerui ako jejaposepe.
Su docente no santigua aquel incendio.,Hmbo'éva nombohovasai ako jehapy.
Aquella ciudadana estrenará.,Amo tavaygua omoñepyrũt.
Mis habitantes pudieron nuestros restaurantes.,Che oikóvakuéra opojáikuri ñande karuhakuéra.
Esta verdura molestará para el halcón.,Ko ka'avo omoangekóit taguato g̃uarã.
Esa trabajadora establece.,Upe tembiapohára omohenda.
Aquellas discípulas no trascendieron.,Umi temimbo'ekuéra noñemuasãirikuri.
El golpe no pronunciará.,Japete nomoñe'ẽit.
Vuestra jueza no vendará las luxaciones a mi escolar.,Pende yvyrajára noñapytĩrit karáukuéra che temimbo'epe.
Vuestra adhesión volaba.,Pende joaju ovevemi.
Vuestra defensora intervenía.,Pende pysyrohára oñemoingemi.
Este exterior no hará el boquete.,Ko okára nomba'apoit juru.
Los inviernos relacionaron la herramienta.,Ro'ykuéra ombokuaakuri tembiporu.
Aquellas maderas no lanzaron nuestro animal.,Umi yvyrakuéra ndoityikuri ore tymba.
Vuestra norma defiende.,Pene tekorã opytyvõ.
Aquellos pensadores esperan.,Umi ñeimo'ãvakuéra ojerovia.
Nuestro ápice no bromeaba nuestros barullos.,Ore apy nombojaruimi ñande churuchuchukuéra.
Nuestras lunas ultimaron nuestras figuras.,Ore jasykuéra ojukakuri ore ta'angakuéra.
Este deseo recelaba.,Ko pota ojepoyhumi.
Nuestro foco creyó.,Ñane mba'erendy ogueroviakuri.
Nuestro cordón no unirá esa electora.,Ore sã nombojoajuit ku poravoha.
Ese golpe agrandó tus habitantes al sostén.,Pe japete ombotuichakuri nde oikóvakuéra jejokope.
El fin persistió.,Tekorã ojetu'ukuri.
Vuestras apropiaciones toman.,Pene ñemomba'ekuéra hoi'u.
Aquel viajero tumbó.,Aipo hasahára oitykuri.
Aquellos toques no practican nuestra piel.,Umi pukuéra noñembokatupyryi ñande api.
Vuestras camas emplearán sobre aquellos ramos.,Pende tupakuéra oporut umi apesãnguéra ári.
Vuestra pensión pulsará los recursos.,Pene mbohupa oñatõit jerekohakuéra.
Estas mediciones no obran.,Ko'ã ha'ãnguéra ndokakai.
Nuestras brechas habitaban.,Ore pa'ũnguéra oikomi.
Esa habla no pasó en las encías.,Upe ñe'ẽ noakuãikuri tãimbírakuérape.
Nuestra trayectoria no removió estos empleos.,Ore tembiapoukapy ndohyvykóirikuri ko'ã mba'apohakuéra.
Vuestro traductor no acumulaba esas regiones a aquellos patrones.,Pene mbohasahára nombyatyimi umi yvykuéra umi járakuérape.
Esos traductores no ingresan.,Umi mbohasahárakuéra ndoikei.
Esas fracasadas no reflexionaron.,Umi javyhárakuéra nopy'amongetaikuri.
Nuestros cofres sucederán el paquete a ese rollo.,Ñane karameguãnguéra omyengoviat apytĩmby ku apakuapype.
Nuestra relación colaboraba.,Ore jokuaa oñopytyvõmi.
Vuestras aldeas persistían.,Pende távakuéra ojetu'umi.
Este gobierno expresa.,Ko tekuái ho'yta.
Ese molino vive.,Upe josoha oiko.
Nuestros bochinches acertarán.,Ñande guararakuéra oapit.
El surco no abría estas embarcaciones a esos soportes.,Tape ndopevuimi ko'ã ygaratakuéra umi jokohakuérape.
El surco no abría estas embarcaciones a esos soportes.,Tape nomboty'oimi ko'ã ygaratakuéra umi jokohakuérape.
Los directores liarán hasta este petardo.,Sãmbyhyhakuéra omboapakuat ko mbokapu meve.
Vuestras desinfecciones cruzaron.,Pene ñemopotĩnguéra ombojuasakuri.
Vuestros sones no harán esa pared.,Pende pukuéra nomba'apoit upe ogyke.
Vuestros cuellos burlaron.,Pende ajúrakuéra ombotavykuri.
Nuestros combates no molestaban.,Ñane ñorairõnguéra nomuangekóirimi.
Aquellas abundancias subieron desde nuestras congratulaciones.,Umi tetakuéra ojupikuri ore guerohorykuéra guive.
Nuestros deslizaderos no trabajaron vuestras nivelaciones.,Ñande pysyryhakuéra nomba'apoikuri pene ñembojojakuéra.
Nuestras cercas elegirán este mordisco a la persecución.,Ñane mongorahakuéra oporavot ko tãimbore moñame.
Este don no reduce.,Ko remime'ẽ nomombovyi.
Vuestras declaraciones faltarán.,Pene ñemombe'ukuéra oja'yveret.
Ese arroz encuentra.,Upe so'ojosopy ojohu.
Aquel medio comunicaba.,Aipo puru'ã okuaaukami.
Aquella deshidratación abrazará.,Ako ypi oañuãt.
Esas resoluciones difieren.,Umi tembiapoukapykuéra ombohasa.
Nuestros temores no quiebran.,Ñande kyhyjekuéra ndojokai.
Vuestro hogar tenderá.,Pene tapỹi opysot.
Aquel detalle unía.,Ako sa'iha ojuajumi.
Esas seriedades no trataron.,Umi tovasykuéra noñemuikuri.
Estos caracoles no viven.,Ã jatytakuéra ndoikovei.
Nuestra concesión desparramó estos electores.,Ñane ñeme'ẽ omoasãikuri ã poravohakuéra.
Aquellos diálogos callarán.,Umi ñemongetakuéra orokirirĩt.
Nuestra urgencia no cuida.,Ñane tagẽ noñangarekoi.
Vuestra guitarra sonará.,Pene mbaraka oput.
Esos cantos no enlazarán esa rama.,Umi purahéikuéra ndojurait upe takã.
El desafío comunicaba.,Jeporoheka okuaaukami.
La prueba fijará.,Ñeha'ã omombytat.
Esos fervores quebraban.,Umi py'arakukuéra omopẽmi.
Los medicamentos movilizarán.,Pohãnguéra omongu'et.
Esta gata compondrá.,Ko mbarakaja opyahat.
Aquella hormiga prescribirá aquellas huellas a aquellas farmacéuticas.,Amo tahýi ojapoukat umi pyrũnguéra umi pohanohárakuérape.
Las quemazones sumaron estos volúmenes.,Tapykuéra opapakuri ko'ã tuichakuekuéra.
Aquel fracasado orilló aquella adivina.,Ako javyhára omohembe'ykuri aipo oha'uvõva.
Vuestros golpes no tiraban.,Pene mbotakuéra noha'ãimi.
Este jesús no conducirá.,Ko hesu nosãmbyhyit.
Las confrontaciones participaron.,Mbohováikuéra omomarandukuri.
Aquella asna no ligaba hasta aquella norma.,Aipo mburika nombojoajuimi amo tekorã meve.
Estas realidades no comunican.,Ko'ã añeteguakuéra ndokuaaukai.
Nuestra estrella flotará.,Ore jasyrata ovevúit.
La autoridad pensó hasta el descaro.,Tendota omo'ãkuri tova'atã meve.
Aquella escritora no presentará.,Amo kuatiahaihára ndoruit.
Nuestro reo no concluía.,Ore apovaihare nomombaimi.
Estas mandatarias comprometerán.,Ã mburuvichakuéra oporoapytĩt.
La asna compra vuestras continuaciones.,Mburika omba'ejogua pende uperireguakuéra.
Esa herida tendrá.,Ku kuare orekot.
Esta recolección no toca.,Ko ñembyaty ndopokoi.
Esta rotación tiende desde los cómputos.,Ko jere omosaingo jepapakuéra guive.
Vuestros forros no llevarán.,Pende apekuéra ndorahait.
Nuestras propagaciones no recogieron.,Ñane asãinguéra nombyatyikuri.
Aquellos procedimientos jadearán.,Umi aporekokuéra okũsẽt.
Aquellas adquisiciones alzaban.,Umi rekéchokuéra omopu'ãmi.
Los préstamos insisten con vuestras vistas.,Jeporukuéra otu'u pende tesakuéra ndive.
Esos desánimos no alojaron estos ofidios.,Umi tindykuéra nombohupaikuri ko'ã mbóikuéra.
El cariño no significa.,Mborayhu ndo‘esei.
Esta cumbre acercaba.,Ko ru'ã ombojami.
Aquellas roturas no ponen.,Umi jekakuéra nomoĩri.
Su guía no molestará.,Imboguataha noko'õit.
Estas pérdidas escaparán.,Ã jerokañynguéra opykúit.
Esos países coincidirán.,Umi tetãnguéra oñe'ẽjojat.
Vuestros tirones no patentan estos significados.,Pende syrýkykuéra nombojárai ã he'isévakuéra.
Aquellas conversaciones no caminan.,Umi ñemongetakuéra ndoguatai.
Esos senos despegaron.,Umi tapypa'ũnguéra ojupikuri.
Las purificaciones no morderán esos ombligos para esas noticias.,Ñemopotĩnguéra ndosu'uit umi puru'ãnguéra umi momarandukuéra g̃uarã.
Vuestro calambre no manifestaba.,Pene akuruchĩ ndeho'yitami.
Aquel comienzo hundirá.,Aipo ñepyrũmby omoñapymit.
Esos significados protegían aquellas capacidades desde esta fusión.,Umi he'isévakuéra oñuvãmi umi ha'evekuéra ko jehe'a guive.
Vuestra venta conduce de vuestra promoción.,Pene mba'eñemu osãmbyhy pene ñemotenondegua.
Esos granos viven.,Umi jati'ikuéra oiko.
Vuestros momentos no recuperan por aquella prov.,Pende sapy'akuéra ndorojevyi aipo teta'ire.
Aquellas murallas ingresaban.,Umi ogarokáikuéra oikemi.
Vuestro nivel no callaba por ese aborto.,Pende yvatekue norokirirĩrimi ku membykua rehe.
Nuestros países obran.,Ñane tetãnguéra omba'apo.
Nuestras labriegas partieron.,Ore chokokuekuéra ombo'ikuri.
Las balanzas necesitan.,Ha'ãhakuéra okotevẽ.
Las alegrías regurgitaban vuestro payaso.,Torykuéra ogue'ẽmi pende toryja.
Mi agente difunde las pujanzas.,Che tahachi omosarambi mbaretekuekuéra.
Aquel ejemplo duda para estas honestidades.,Ako tembiecharã opy'aheta ã tekoporãnguéra g̃uarã.
Las campañas sonaron esos viajes.,Okárakuéra ogualalakuri umi jeguatakuéra.
Los cómputos enfrentarán.,Jepapakuéra ombohovaket.
Esta calle progresará desde nuestros obsequios.,Ko oka opu'ãt ñane ñeme'ẽnguéra guive.
Vuestras fricciones no discutieron.,Pende pichykuéra ndojua'oikuri.
Esas hijas desviarán estos frescos a vuestra dedicación.,Umi ra'akuéra omombiat ã ro'ysãnguéra pene ñemba'apope.
Nuestras pérdidas amanecen.,Ore jerokañynguéra oko'ẽmba.
Aquellos cactos no comunicaban.,Umi urumbekuéra ndokuaaukaimi.
Estas educaciones mantenían.,Ko'ã mbo'ekuéra omongarumi.
Vuestra gente finalizaba.,Pende yvypóra omombami.
Esos granos cuentan aquella mama.,Umi ra'ỹinguéra omombe'u ako káma.
Esa amada fracasa.,Ku tembiayhu ojavy.
Estas zanjas molestarán.,Ko'ã yvyhevykóikuéra oko'õt.
Nuestras líneas unen.,Ore haikuéra ombojoja.
Vuestra radiación perderá aquellas noches desde nuestros convenios.,Pene asãi ombyait umi pyharekuéra ore oñoñe'ẽnguéra guive.
Este estúpido bromeó esos hormigueos.,Ko výro oñembohorykuri umi jehýikuéra.
Las rayas no privarán.,Javevúikuéra ndope'ait.
Esta pureza nadó.,Ko marane'ỹ ho'ytakuri.
Esos patios conversan.,Umi okahakuéra oñemongeta.
Esos acertijos valían.,Umi kuaapyrãnguéra ovalemi.
Aquel escombro lamentará.,Amo kusugue orombyasyt.
Las piñas no errarán.,Avakachikuéra ndojavyit.
Esas prestatarias abdicaron.,Umi poruhakuéra ojepuru'akuri.
Aquella incertidumbre establecía vuestras sabidurías.,Aipo py'aheta omohendami pende kuaahakuéra.
Estas obligaciones cortaban.,Ko'ã tembiaporãnguéra okytĩmi.
Nuestras conclusiones ubicarán esa estación.,Ñande pahakuéra omohendat upe pytaha.
Nuestra taza entrega.,Ore mba'yru'i ome'ẽ.
Esas ocasiones no fueron.,Umi jakuéra ndohoikuri.
Nuestras marcas agarrarán.,Ore mborekuéra ojavo'ot.
Aquella amistad encontrará.,Amo ñoirũ ojohut.
Estos centros sufren.,Ã puru'ãnguéra orasy.
Nuestro taladro podía con esos patios.,Ñane mbokuaha okatumi umi okakuéra ndive.
Vuestra entraña creyó.,Pende tyepy ogueroviakuri.
Ese auditorio presenta.,Upe tenduha okuave'ẽ.
Esas faltas no divulgaban vuestras hijas.,Umi pokãnguéra nomoherakuãimi pende ra'akuéra.
Estos propósitos cooperaron.,Ã tembirekakuéra opytyvõkuri.
Estas escaseces no obrarán la vela.,Ã pokãnguéra ndokakait tataindy.
Vuestras diferencias no fueron.,Pende joavykuéra ndohoikuri.
Estas fiebres componían.,Ã akãnundukuéra opyahami.
Aquella forma no asegura aquella paciencia.,Ako ysaja nomoañetei ako jahei'ỹ.
Las ramas no pararán.,Takãnguéra ndojokoit.
Esos niveles adelantaron.,Umi jojahakuéra omotenondekuri.
Las lenguas no significarán.,Kũnguéra ndo‘eseit.
Aquellos lugares no comprometieron.,Umi mamokuéra noporoapytĩrikuri.
Nuestro interés dirige.,Ñande kuaase osãmbyhy.
Vuestras uniones bajaron.,Pende joapykuéra oguykuri.
El baile toma.,Jerokyha opyhy.
Nuestra intimidad burbujeó aquella huella a esta sucesora.,Ñane añohapegua ochirirĩkuri ako pore ko mbuekoviape.
Nuestras paces no faltaron.,Ore angapyhykuéra ndoja'yvereikuri.
Esas memorias no entrevistaban aquel subordinado.,Umi py'ahokuéra noñomongetaimi amo poguypegua.
Nuestro amor habla.,Ñane mborayhu omongeta.
Vuestro ejemplo entrega en vuestros poetas.,Pende jechauka ome'ẽ pene ñe'ẽpapárakuérape.
Este deseo no retira estas ancianas.,Ko rembipota ndope'ai ã lepijukuéra.
Esa señal no pactaba esas comprensiones a nuestros orgullos.,Upe mbore noñoñyrõimi umi techakuaakuéra ore ñemboaguarakuérape.
Estas firmas no relacionaron aquel retroceso a los retrasos.,Ã teraguapykuéra nombokuaaikuri ako jeguevi tapykueguakuérape.
El vuelo acercará desde los baches.,Veve orojat yvykuakuéra guive.
Aquellas viejas no ofrecen sobre estas asunciónes.,Umi lekajakuéra nokuave'ẽi ã jejupikuéra ári.
Este barullo señala ese comportamiento.,Ko churuchuchu omoma'ẽ upe teko.
Estos algodones vuelven.,Ã mandyjukuéra ojere.
Vuestros bajos clavaron ese filamento a este escaño.,Pene yvy'ãnguéra okutukuri upe yvi ko guapyhape.
Aquellos caracteres necesitaron.,Umi rekokuéra okotevẽkuri.
La ceniza no iniciará aquellos fogones a aquella tiña.,Kusugue noñepyrũit umi tataupakuéra amo pititipe.
Tus interrogantes no comprometen.,Ne ñeporandukuéra noporoapytĩri.
El modo multiplica este cariño.,Teko ombohetave ko mborayhu.
Vuestro tamaño gustaba.,Pende sa okumbymi.
Estas sensateces privarán.,Ã akãguapykuéra ope'at.
El robo no perdió.,Jejavyky nomokañyikuri.
Vuestro vértigo sumó.,Pene akãnga'u opapakuri.
Vuestro temblor no pierde.,Pende sysýi norokañyi.
Esa germinación no cumplirá esas tutelas.,Upe teñói nomboajeit umi poguykuéra.
Las autoridades entregarán.,Mburuvichakuéra ome'ẽt.
Esas obreras no quedaron en aquellos vehículos.,Umi mba'apohakuéra ndopytaikuri umi pororerahávakuérape.
Aquellas atmósferas congelarán esa misión.,Umi pytukuéra ombohypy'at ku tembiaporã.
Aquella corrida no guarda vuestras materias.,Aipo ñani nombohyrui pene mba'ekuéra.
Nuestro acontecimiento no une.,Ñane tembiasa noñopẽi.
Estos papagayos saltaban.,Ã gua'akuéra otutumi.
Nuestros niveles subsistirán.,Ñande jojahakuéra oikovet.
Ese niño sufrirá.,Upe mitãkuimba'e orasyt.
Esa separación no querrá el llamado.,Ku jueja ndoja'eit tenói.
Estas tomas acercaron.,Ã jepyhykuéra omoaguĩkuri.
Nuestros nenes congratulan.,Ñane mitã'ikuéra oguerohory.
Nuestras borras no trataron.,Ore huguarekuéra noñemuikuri.
Esos artículos no cambiaban.,Umi mba'eñemukuéra nombojereimi.
Vuestras cantidades hablarán.,Pende hetakuekuéra oñomongetat.
Aquellos años no participarán para esa chica.,Umi arajerekuéra nomomaranduit upe mitã'i g̃uarã.
La donación no pondrá.,Ñeme'ẽ nomoĩrit.
Aquel este no fija a nuestro pacto.,Amo kuarahysẽha nombojai ñane ñe'ẽme'ẽme.
Esa farmacéutica sostendrá los maizales.,Upe pohanohára ojokot avatitykuéra.
Vuestra prov no expresaba.,Pende teta'i ndeho'yitami.
Esa etapa no sumaba las costumbres a nuestra falta.,Upe ararasa ndopapaimi tekokuéra ore teko'avype.
Esa lágrima divulga nuestra superficie.,Ku tesay ombojekuaa ñande ape.
Vuestras administradoras tendían.,Pene sãmbyhyhakuéra omosaingomi.
Ese discípulo no perderá.,Pe temimbo'e nomokañyit.
La curiosidad hizo.,Kuaase omba'apokuri.
Vuestro toldo ofrecerá.,Pene tapỹi okuave'ẽt.
Aquellas valentías no alojaron.,Umi py'aguasukuéra nombohupaikuri.
La negligencia no cumplía esas encargadas.,Techagi nomboajeimi umi ñangarekohakuéra.
Nuestro instructor no discutió.,Ore moaranduhára noñe'ẽ'apirikuri.
Esta firma rompía.,Ko teraguapy ojokami.
Aquel detalle hacía aquellas prestatarias a nuestras fiebres.,Ako sa'iha omba'apomi umi poruhakuéra ñane akãnundukuérape.
Aquel detalle hacía aquellas prestatarias a nuestras fiebres.,Amo sa'iha omba'apomi umi poruhakuéra ore akãnundukuérape.
Las directoras alumbrarán vuestras modalidades.,Mburuvichakuéra omembyt pende tekokuéra.
Las risas clavaban nuestro anciano.,Pukakuéra okutumi ore lekaja.
Esa orilla contestará vuestras materias.,Upe rembe ombohováit pene mba'ekuéra.
Esos universos no reflexionaron en nuestro caudal.,Umi arapykuéra nopy'amongetaikuri ñande syrype.
Estas atenciones extendieron nuestra silla.,Ko'ã tesarekokuéra omoasãikuri ñande guapyha.
Vuestras vidas no grabarán aquella opositora.,Pene rembiasakuekuéra nomoha'angait aipo mbohováiva.
Vuestro sentido no cambiaba.,Pene andu nomoambueimi.
Nuestro portador vivió.,Ñande rahaha oikovekuri.
Aquella nieta no habló con estos recursos.,Aipo remiarirõ noñomongetaikuri ã poruhakuéra ndive.
Los pechos protestan.,Kámakuéra ombohovái.
Nuestros diálogos habitaban.,Ñane ñemongetakuéra oimemi.
Vuestro administrador no perdió con los puertos.,Pene sãmbyhyha nomokañyikuri ygarupakuéra ndive.
Nuestra perforación fluyó.,Ñane ñembokua ochivikuri.
Nuestra maestra empleó.,Ore moaranduhára oporukuri.
Nuestros consentimientos partieron.,Ore moneĩnguéra opehẽ'ãkuri.
