esos vinos comprometían,umi kaguykuéra nporoapytĩri
nuestra salida no enseña aquella modestia,ñane ñesẽ nmoarandui amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmoarandui amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmoarandui aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmoarandui aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmoarandui ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmoarandui ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndtavy'oi amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndtavy'oi amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndtavy'oi aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndtavy'oi aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndtavy'oi ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndtavy'oi ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndkuaaukai amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndkuaaukai amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndkuaaukai aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndkuaaukai aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndkuaaukai ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndkuaaukai ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmbo'ei amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmbo'ei amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmbo'ei aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmbo'ei aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmbo'ei ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmbo'ei ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmoarandui amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmoarandui amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmoarandui aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmoarandui aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmoarandui ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ nmoarandui ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndtavy'oi amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndtavy'oi amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndtavy'oi aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndtavy'oi aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndtavy'oi ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ore sẽ ndtavy'oi ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndkuaaukai amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndkuaaukai amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndkuaaukai aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndkuaaukai aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndkuaaukai ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndkuaaukai ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmbo'ei amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmbo'ei amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmbo'ei aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmbo'ei aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmbo'ei ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmbo'ei ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmoarandui amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmoarandui amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmoarandui aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmoarandui aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmoarandui ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ nmoarandui ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndtavy'oi amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndtavy'oi amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndtavy'oi aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndtavy'oi aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndtavy'oi ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ore ñesẽ ndtavy'oi ako jerovu'ỹ
nuestro saber recalcará nuestras dichas,ñande pokuaa ndjetu'ui ñande po'akuéra
nuestro saber recalcará nuestras dichas,ñande pokuaa ndjetu'ui ñande py'arorykuéra
nuestro saber recalcará nuestras dichas,ñande pokuaa ndjetu'ui ñande torykuéra
nuestro saber recalcará nuestras dichas,ñande pokuaa ndjetu'ui ñande vy'akuéra
nuestro saber recalcará nuestras dichas,ñande pokuaa ndjetu'ui ore po'akuéra
nuestro saber recalcará nuestras dichas,ñande pokuaa ndjetu'ui ore py'arorykuéra
nuestro saber recalcará nuestras dichas,ñande pokuaa ndjetu'ui ore torykuéra
nuestro saber recalcará nuestras dichas,ñande pokuaa ndjetu'ui ore vy'akuéra
nuestro saber recalcará nuestras dichas,ore pokuaa ndjetu'ui ñande po'akuéra
nuestro saber recalcará nuestras dichas,ore pokuaa ndjetu'ui ñande py'arorykuéra
nuestro saber recalcará nuestras dichas,ore pokuaa ndjetu'ui ñande torykuéra
nuestro saber recalcará nuestras dichas,ore pokuaa ndjetu'ui ñande vy'akuéra
nuestro saber recalcará nuestras dichas,ore pokuaa ndjetu'ui ore po'akuéra
nuestro saber recalcará nuestras dichas,ore pokuaa ndjetu'ui ore py'arorykuéra
nuestro saber recalcará nuestras dichas,ore pokuaa ndjetu'ui ore torykuéra
nuestro saber recalcará nuestras dichas,ore pokuaa ndjetu'ui ore vy'akuéra
aquella toma no mejorará nuestro fracasado,amo ñemokõ nmbohekoporãi ñande javyhára
aquella toma no mejorará nuestro fracasado,amo ñemokõ nmbohekoporãi ore javyhára
aquella toma no mejorará nuestro fracasado,amo ñemokõ nmoporãvei ñande javyhára
aquella toma no mejorará nuestro fracasado,amo ñemokõ nmoporãvei ore javyhára
aquella toma no mejorará nuestro fracasado,amo ñemokõ npu'ãi ñande javyhára
aquella toma no mejorará nuestro fracasado,amo ñemokõ npu'ãi ore javyhára
aquella toma no mejorará nuestro fracasado,amo jepyhy nmbohekoporãi ñande javyhára
aquella toma no mejorará nuestro fracasado,amo jepyhy nmbohekoporãi ore javyhára
aquella toma no mejorará nuestro fracasado,amo jepyhy nmoporãvei ñande javyhára
aquella toma no mejorará nuestro fracasado,amo jepyhy nmoporãvei ore javyhára
aquella toma no mejorará nuestro fracasado,amo jepyhy npu'ãi ñande javyhára
aquella toma no mejorará nuestro fracasado,amo jepyhy npu'ãi ore javyhára
aquella toma no mejorará nuestro fracasado,aipo ñemokõ nmbohekoporãi ñande javyhára
aquella toma no mejorará nuestro fracasado,aipo ñemokõ nmbohekoporãi ore javyhára
aquella toma no mejorará nuestro fracasado,aipo ñemokõ nmoporãvei ñande javyhára
aquella toma no mejorará nuestro fracasado,aipo ñemokõ nmoporãvei ore javyhára
aquella toma no mejorará nuestro fracasado,aipo ñemokõ npu'ãi ñande javyhára
aquella toma no mejorará nuestro fracasado,aipo ñemokõ npu'ãi ore javyhára
aquella toma no mejorará nuestro fracasado,aipo jepyhy nmbohekoporãi ñande javyhára
aquella toma no mejorará nuestro fracasado,aipo jepyhy nmbohekoporãi ore javyhára
aquella toma no mejorará nuestro fracasado,aipo jepyhy nmoporãvei ñande javyhára
aquella toma no mejorará nuestro fracasado,aipo jepyhy nmoporãvei ore javyhára
aquella toma no mejorará nuestro fracasado,aipo jepyhy npu'ãi ñande javyhára
aquella toma no mejorará nuestro fracasado,aipo jepyhy npu'ãi ore javyhára
aquella toma no mejorará nuestro fracasado,ako ñemokõ nmbohekoporãi ñande javyhára
aquella toma no mejorará nuestro fracasado,ako ñemokõ nmbohekoporãi ore javyhára
aquella toma no mejorará nuestro fracasado,ako ñemokõ nmoporãvei ñande javyhára
aquella toma no mejorará nuestro fracasado,ako ñemokõ nmoporãvei ore javyhára
aquella toma no mejorará nuestro fracasado,ako ñemokõ npu'ãi ñande javyhára
aquella toma no mejorará nuestro fracasado,ako ñemokõ npu'ãi ore javyhára
aquella toma no mejorará nuestro fracasado,ako jepyhy nmbohekoporãi ñande javyhára
aquella toma no mejorará nuestro fracasado,ako jepyhy nmbohekoporãi ore javyhára
aquella toma no mejorará nuestro fracasado,ako jepyhy nmoporãvei ñande javyhára
aquella toma no mejorará nuestro fracasado,ako jepyhy nmoporãvei ore javyhára
aquella toma no mejorará nuestro fracasado,ako jepyhy npu'ãi ñande javyhára
aquella toma no mejorará nuestro fracasado,ako jepyhy npu'ãi ore javyhára
vuestro cabo significará,pende apy nd‘esei
vuestro cabo significará,pende apýra nd‘esei
vuestro cabo significará,pende yvyakua nd‘esei
aquellas verdades desnudaban su reserva,umi añetekuéra nmbo'opívoi h_# ñongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbo'opívoi ijñongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbo'opívoi iññongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbo'opívoi iñongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbo'opívoi hi'ñongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbóiri h_# ñongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbóiri ijñongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbóiri iññongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbóiri iñongatupy
aquellas verdades desnudaban su reserva,umi añetekuéra nmbóiri hi'ñongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbo'opívoi h_# ñongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbo'opívoi ijñongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbo'opívoi iññongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbo'opívoi iñongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbo'opívoi hi'ñongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbóiri h_# ñongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbóiri ijñongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbóiri iññongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbóiri iñongatupy
aquellas verdades desnudaban su reserva,umi añeteguakuéra nmbóiri hi'ñongatupy
tu confidente no despegó,nde jeroviaha ndjupiri
tu confidente no despegó,nde jeroviaha npu'ãi
tu confidente no despegó,nde jeroviaha ndyvyrejai
vuestra invitación no preguntó vuestras oraciones,pende pepiru nporandui pene ñembo'ekuéra
vuestra invitación no preguntó vuestras oraciones,pene tenói nporandui pene ñembo'ekuéra
vuestra invitación no preguntó vuestras oraciones,pene ñekuave'ẽ nporandui pene ñembo'ekuéra
vuestras leyes no trasladarán,pene tembiapoukapykuéra nmbovai
vuestras leyes no trasladarán,pene tembiapoukapykuéra ndrojai
vuestras leyes no trasladarán,pene tembiapoukapykuéra ndrovai
las rodajas no acertaron,vorekuéra ndapiri
las rodajas no acertaron,vorekuéra ndjapiri
ese hartazgo naufragaba,ku tenyhẽ nñapymiri
ese hartazgo naufragaba,upe tenyhẽ nñapymiri
ese hartazgo naufragaba,pe tenyhẽ nñapymiri
estos cuidados abrazaron,ã angarekokuéra nañuãi
estos cuidados abrazaron,ã angarekokuéra nñañuvãi
estos cuidados abrazaron,ã angarekokuéra nñuvãi
estos cuidados abrazaron,ã angatakuéra nañuãi
estos cuidados abrazaron,ã angatakuéra nñañuvãi
estos cuidados abrazaron,ã angatakuéra nñuvãi
estos cuidados abrazaron,ã ñangarekokuéra nañuãi
estos cuidados abrazaron,ã ñangarekokuéra nñañuvãi
estos cuidados abrazaron,ã ñangarekokuéra nñuvãi
estos cuidados abrazaron,ã poguykuéra nañuãi
estos cuidados abrazaron,ã poguykuéra nñañuvãi
estos cuidados abrazaron,ã poguykuéra nñuvãi
estos cuidados abrazaron,ko'ã angarekokuéra nañuãi
estos cuidados abrazaron,ko'ã angarekokuéra nñañuvãi
estos cuidados abrazaron,ko'ã angarekokuéra nñuvãi
estos cuidados abrazaron,ko'ã angatakuéra nañuãi
estos cuidados abrazaron,ko'ã angatakuéra nñañuvãi
estos cuidados abrazaron,ko'ã angatakuéra nñuvãi
estos cuidados abrazaron,ko'ã ñangarekokuéra nañuãi
estos cuidados abrazaron,ko'ã ñangarekokuéra nñañuvãi
estos cuidados abrazaron,ko'ã ñangarekokuéra nñuvãi
estos cuidados abrazaron,ko'ã poguykuéra nañuãi
estos cuidados abrazaron,ko'ã poguykuéra nñañuvãi
estos cuidados abrazaron,ko'ã poguykuéra nñuvãi
nuestros maizales no lanzaban,ñande avatitykuéra ndityi
nuestros maizales no lanzaban,ñande avatitykuéra ndpoiri
nuestros maizales no lanzaban,ore avatitykuéra ndityi
nuestros maizales no lanzaban,ore avatitykuéra ndpoiri
los sepultureros alzaron,poroñotỹhakuéra nmopu'ãi
aquel perfil no reinó,amo yke ndporokuáiri
aquel perfil no reinó,amo yke nporosãmbyhyi
aquel perfil no reinó,aipo yke ndporokuáiri
aquel perfil no reinó,aipo yke nporosãmbyhyi
aquel perfil no reinó,ako yke ndporokuáiri
aquel perfil no reinó,ako yke nporosãmbyhyi
vuestros herederos lamentaban,pene jararãnguéra nmbyasyi
vuestros herederos lamentaban,pene jararãnguéra nrohasẽi
vuestros herederos lamentaban,pene jararãnguéra ndrojahe'oi
vuestros herederos lamentaban,pene jararãnguéra nrombyasyi
vuestros cuartos no tiraban,pende kotykuéra nha'ãi
vuestros cuartos no tiraban,pende kotykuéra ndityi
vuestros cuartos no tiraban,pende kotykuéra ndkapui
vuestros cuartos no tiraban,pende kotykuéra nmomboi
la resolución no toma,tembiapoukapy ndjapyhyi
la resolución no toma,tembiapoukapy ndjavo'oi
la resolución no toma,tembiapoukapy nkuãchaĩri
la resolución no toma,tembiapoukapy ndpo'oi
la resolución no toma,tembiapoukapy ndpyhyi
vuestra acción no abrió,pene tembiapo nmboty'oi
vuestra acción no abrió,pene tembiapo ndpevui
vuestra acción no abrió,pene tembiapo ndpe'ai
aquellas listas encajarán,umi tysýikuéra nkuapytĩri
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra ndkuaaukai ñande kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra ndkuaaukai ñande kokuekuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra ndkuaaukai ñande kógakuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra ndkuaaukai ñane temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra ndkuaaukai ore temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra ndkuaaukai ore kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra ndkuaaukai ore kokuekuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra ndkuaaukai ore kógakuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra nmomarandui ñande kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra nmomarandui ñande kokuekuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra nmomarandui ñande kógakuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra nmomarandui ñane temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra nmomarandui ore temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra nmomarandui ore kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra nmomarandui ore kokuekuéra
nuestras profesiones no comunican nuestras chacras,ñande apohakuéra nmomarandui ore kógakuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra ndkuaaukai ñande kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra ndkuaaukai ñande kokuekuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra ndkuaaukai ñande kógakuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra ndkuaaukai ñane temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra ndkuaaukai ore temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra ndkuaaukai ore kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra ndkuaaukai ore kokuekuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra ndkuaaukai ore kógakuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra nmomarandui ñande kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra nmomarandui ñande kokuekuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra nmomarandui ñande kógakuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra nmomarandui ñane temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra nmomarandui ore temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra nmomarandui ore kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra nmomarandui ore kokuekuéra
nuestras profesiones no comunican nuestras chacras,ñane tembiapokuaakuéra nmomarandui ore kógakuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra ndkuaaukai ñande kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra ndkuaaukai ñande kokuekuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra ndkuaaukai ñande kógakuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra ndkuaaukai ñane temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra ndkuaaukai ore temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra ndkuaaukai ore kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra ndkuaaukai ore kokuekuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra ndkuaaukai ore kógakuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra nmomarandui ñande kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra nmomarandui ñande kokuekuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra nmomarandui ñande kógakuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra nmomarandui ñane temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra nmomarandui ore temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra nmomarandui ore kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra nmomarandui ore kokuekuéra
nuestras profesiones no comunican nuestras chacras,ore tembiapokuaakuéra nmomarandui ore kógakuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra ndkuaaukai ñande kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra ndkuaaukai ñande kokuekuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra ndkuaaukai ñande kógakuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra ndkuaaukai ñane temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra ndkuaaukai ore temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra ndkuaaukai ore kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra ndkuaaukai ore kokuekuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra ndkuaaukai ore kógakuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra nmomarandui ñande kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra nmomarandui ñande kokuekuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra nmomarandui ñande kógakuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra nmomarandui ñane temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra nmomarandui ore temitỹndykuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra nmomarandui ore kapuérakuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra nmomarandui ore kokuekuéra
nuestras profesiones no comunican nuestras chacras,ore apohakuéra nmomarandui ore kógakuéra
vuestro embuste une aquel vecindario,pende japu ndjoapyi amo amandaje
vuestro embuste une aquel vecindario,pende japu ndjoapyi aipo amandaje
vuestro embuste une aquel vecindario,pende japu ndjoapyi ako amandaje
vuestro embuste une aquel vecindario,pende japu ndjuajui amo amandaje
vuestro embuste une aquel vecindario,pende japu ndjuajui aipo amandaje
vuestro embuste une aquel vecindario,pende japu ndjuajui ako amandaje
vuestro embuste une aquel vecindario,pende japu nmbojoajui amo amandaje
vuestro embuste une aquel vecindario,pende japu nmbojoajui aipo amandaje
vuestro embuste une aquel vecindario,pende japu nmbojoajui ako amandaje
vuestro embuste une aquel vecindario,pende japu nmbojojai amo amandaje
vuestro embuste une aquel vecindario,pende japu nmbojojai aipo amandaje
vuestro embuste une aquel vecindario,pende japu nmbojojai ako amandaje
vuestro embuste une aquel vecindario,pende japu nmbojuajui amo amandaje
vuestro embuste une aquel vecindario,pende japu nmbojuajui aipo amandaje
vuestro embuste une aquel vecindario,pende japu nmbojuajui ako amandaje
vuestro embuste une aquel vecindario,pende japu nmbojuapyi amo amandaje
vuestro embuste une aquel vecindario,pende japu nmbojuapyi aipo amandaje
vuestro embuste une aquel vecindario,pende japu nmbojuapyi ako amandaje
vuestro embuste une aquel vecindario,pende japu nñopẽi amo amandaje
vuestro embuste une aquel vecindario,pende japu nñopẽi aipo amandaje
vuestro embuste une aquel vecindario,pende japu nñopẽi ako amandaje
vuestro embuste une aquel vecindario,pene ñembotavy ndjoapyi amo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy ndjoapyi aipo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy ndjoapyi ako amandaje
vuestro embuste une aquel vecindario,pene ñembotavy ndjuajui amo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy ndjuajui aipo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy ndjuajui ako amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojoajui amo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojoajui aipo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojoajui ako amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojojai amo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojojai aipo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojojai ako amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojuajui amo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojuajui aipo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojuajui ako amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojuapyi amo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojuapyi aipo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nmbojuapyi ako amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nñopẽi amo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nñopẽi aipo amandaje
vuestro embuste une aquel vecindario,pene ñembotavy nñopẽi ako amandaje
este revólver contó estos teatros,ko mboka nmombe'ui ã tekoha'angakuéra
este revólver contó estos teatros,ko mboka nmombe'ui ã ñemoha'angakuéra
este revólver contó estos teatros,ko mboka nmombe'ui ã tekochaukakuéra
este revólver contó estos teatros,ko mboka nmombe'ui ko'ã tekoha'angakuéra
este revólver contó estos teatros,ko mboka nmombe'ui ko'ã ñemoha'angakuéra
este revólver contó estos teatros,ko mboka nmombe'ui ko'ã tekochaukakuéra
este revólver contó estos teatros,ko mboka ndpapai ã tekoha'angakuéra
este revólver contó estos teatros,ko mboka ndpapai ã ñemoha'angakuéra
este revólver contó estos teatros,ko mboka ndpapai ã tekochaukakuéra
este revólver contó estos teatros,ko mboka ndpapai ko'ã tekoha'angakuéra
este revólver contó estos teatros,ko mboka ndpapai ko'ã ñemoha'angakuéra
este revólver contó estos teatros,ko mboka ndpapai ko'ã tekochaukakuéra
el poeta cargaba,ñe'ẽpapára nmyenyhẽi
nuestra misión trabajará,ñane tembiaporã nmba'apoi
nuestra misión trabajará,ore tembiaporã nmba'apoi
nuestros secretarios no callan,ñane pytyvõhakuéra nrokirirĩri
nuestros secretarios no callan,ñane pytyvõhárakuéra nrokirirĩri
nuestros secretarios no callan,ñane tembiguáikuéra nrokirirĩri
nuestros secretarios no callan,ore pytyvõhakuéra nrokirirĩri
nuestros secretarios no callan,ore pytyvõhárakuéra nrokirirĩri
nuestros secretarios no callan,ore tembiguáikuéra nrokirirĩri
nuestra angustia no cargaba,ñande jepy'apy nmyenyhẽi
nuestra angustia no cargaba,ñane angata nmyenyhẽi
nuestra angustia no cargaba,ore angata nmyenyhẽi
nuestra angustia no cargaba,ore jepy'apy nmyenyhẽi
aquella administradora no proseguía,amo sãmbyhyha ndjapovei
aquella administradora no proseguía,amo ñangarekohára ndjapovei
aquella administradora no proseguía,aipo sãmbyhyha ndjapovei
aquella administradora no proseguía,aipo ñangarekohára ndjapovei
aquella administradora no proseguía,ako sãmbyhyha ndjapovei
aquella administradora no proseguía,ako ñangarekohára ndjapovei
aquella separación despegará,amo jepe'a ndjupiri
aquella separación despegará,amo jepe'a npu'ãi
aquella separación despegará,amo jepe'a ndyvyrejai
aquella separación despegará,amo jopoi ndjupiri
aquella separación despegará,amo jopoi npu'ãi
aquella separación despegará,amo jopoi ndyvyrejai
aquella separación despegará,amo jueja ndjupiri
aquella separación despegará,amo jueja npu'ãi
aquella separación despegará,amo jueja ndyvyrejai
aquella separación despegará,aipo jepe'a ndjupiri
aquella separación despegará,aipo jepe'a npu'ãi
aquella separación despegará,aipo jepe'a ndyvyrejai
aquella separación despegará,aipo jopoi ndjupiri
aquella separación despegará,aipo jopoi npu'ãi
aquella separación despegará,aipo jopoi ndyvyrejai
aquella separación despegará,aipo jueja ndjupiri
aquella separación despegará,aipo jueja npu'ãi
aquella separación despegará,aipo jueja ndyvyrejai
aquella separación despegará,ako jepe'a ndjupiri
aquella separación despegará,ako jepe'a npu'ãi
aquella separación despegará,ako jepe'a ndyvyrejai
aquella separación despegará,ako jopoi ndjupiri
aquella separación despegará,ako jopoi npu'ãi
aquella separación despegará,ako jopoi ndyvyrejai
aquella separación despegará,ako jueja ndjupiri
aquella separación despegará,ako jueja npu'ãi
aquella separación despegará,ako jueja ndyvyrejai
