achúrakuera,achúra,N,C,0,P,menudencias,menudencia,N,C,F,P
jepoi,jepoi,N,C,0,S,tirada,tirada,N,C,F,S
jepoikuera,jepoi,N,C,0,P,tiradas,tirada,N,C,F,P
jepoka,jepoka,N,C,0,S,contorsión,contorsión,N,C,F,S
jepokakuera,jepoka,N,C,0,P,contorsiones,contorsión,N,C,F,P
jepoko,jepoko,N,C,0,S,tacto,tacto,N,C,M,S
jepokokuera,jepoko,N,C,0,P,tactos,tacto,N,C,M,P
jepoko,jepoko,N,C,0,S,tanteo,tanteo,N,C,M,S
jepokokuera,jepoko,N,C,0,P,tanteos,tanteo,N,C,M,P
jepoko,jepoko,N,C,0,S,toque,toque,N,C,M,S
jepokokuera,jepoko,N,C,0,P,toques,toque,N,C,M,P
jepokuaa,jepokuaa,N,C,0,S,costumbre,costumbre,N,C,F,S
jepokuaakuera,jepokuaa,N,C,0,P,costumbres,costumbre,N,C,F,P
jepokuaa,jepokuaa,N,C,0,S,práctica,práctica,N,C,F,S
jepokuaakuera,jepokuaa,N,C,0,P,prácticas,práctica,N,C,F,P
jepokuaa,jepokuaa,N,C,0,S,usanza,usanza,N,C,F,S
jepokuaakuera,jepokuaa,N,C,0,P,usanzas,usanza,N,C,F,P
jepokuaa,jepokuaa,N,C,0,S,maña,maña,N,C,F,S
jepokuaa,jepokuaa,N,C,0,S,maña,maño,N,C,F,S
jepokuaakuera,jepokuaa,N,C,0,P,mañas,maña,N,C,F,P
jepokuaa,jepokuaa,N,C,0,S,rutina,rutina,N,C,F,S
jepokuaakuera,jepokuaa,N,C,0,P,rutinas,rutina,N,C,F,P
jepokuaa,jepokuaa,N,C,0,S,hábito,hábito,N,C,M,S
jepokuaakuera,jepokuaa,N,C,0,P,hábitos,hábito,N,C,M,P
jepokuaa,jepokuaa,N,C,0,S,uso,uso,N,C,M,S
jepokuaakuera,jepokuaa,N,C,0,P,usos,uso,N,C,M,P
jepokuaaha,jepokuaaha,N,C,0,S,costumbre,costumbre,N,C,F,S
jepokuaahakuera,jepokuaaha,N,C,0,P,costumbres,costumbre,N,C,F,P
jepokuahakuera,jepokuaha,N,C,0,P,esposas,esposas,N,C,F,P
jepokuahakuera,jepokuaha,N,C,0,P,esposas,esposo,N,C,F,P
jepokuaha,jepokuaha,N,C,0,S,manea,manea,N,C,F,S
jepokuahakuera,jepokuaha,N,C,0,P,maneas,manea,N,C,F,P
jepopete,jepopete,N,C,0,S,palmada,palmada,N,C,F,S
jepopetekuera,jepopete,N,C,0,P,palmadas,palmada,N,C,F,P
jepopete,jepopete,N,C,0,S,aplauso,aplauso,N,C,M,S
jepopetekuera,jepopete,N,C,0,P,aplausos,aplauso,N,C,M,P
jeporavo,jeporavo,N,C,0,S,elección,elección,N,C,F,S
jeporavokuera,jeporavo,N,C,0,P,elecciones,elección,N,C,F,P
jeporavo,jeporavo,N,C,0,S,selección,selección,N,C,F,S
jeporavokuera,jeporavo,N,C,0,P,selecciones,selección,N,C,F,P
jeporoheka,jeporoheka,N,C,0,S,desafío,desafío,N,C,M,S
jeporohekakuera,jeporoheka,N,C,0,P,desafíos,desafío,N,C,M,P
jeporu,jeporu,N,C,0,S,préstamo,préstamo,N,C,M,S
jeporukuera,jeporu,N,C,0,P,préstamos,préstamo,N,C,M,P
jeporu,jeporu,N,C,0,S,usufructo,usufructo,N,C,M,S
jeporukuera,jeporu,N,C,0,P,usufructos,usufructo,N,C,M,P
jeporuka,jeporuka,N,C,0,S,préstamo,préstamo,N,C,M,S
jeporukakuera,jeporuka,N,C,0,P,préstamos,préstamo,N,C,M,P
jeporuypy,jeporuypy,N,C,0,S,inauguración,inauguración,N,C,F,S
jeporuypykuera,jeporuypy,N,C,0,P,inauguraciones,inauguración,N,C,F,P
jepota,jepota,N,C,0,S,deseo,deseo,N,C,M,S
jepotakuera,jepota,N,C,0,P,deseos,deseo,N,C,M,P
jepota,jepota,N,C,0,S,codicia,codicia,N,C,F,S
jepotakuera,jepota,N,C,0,P,codicias,codicia,N,C,F,P
jepoyhu,jepoyhu,N,C,0,S,desconfianza,desconfianza,N,C,F,S
jepoyhukuera,jepoyhu,N,C,0,P,desconfianzas,desconfianza,N,C,F,P
jepoyhu,jepoyhu,N,C,0,S,recelo,recelo,N,C,M,S
jepoyhukuera,jepoyhu,N,C,0,P,recelos,recelo,N,C,M,P
jepoyhu,jepoyhu,N,C,0,S,sospecha,sospecha,N,C,F,S
jepoyhukuera,jepoyhu,N,C,0,P,sospechas,sospecha,N,C,F,P
jepuruypy,jepuruypy,N,C,0,S,inauguración,inauguración,N,C,F,S
jepuruypykuera,jepuruypy,N,C,0,P,inauguraciones,inauguración,N,C,F,P
jepy,jepy,N,C,0,S,represalia,represalia,N,C,F,S
jepykuera,jepy,N,C,0,P,represalias,represalia,N,C,F,P
jepy,jepy,N,C,0,S,venganza,venganza,N,C,F,S
jepykuera,jepy,N,C,0,P,venganzas,venganza,N,C,F,P
jepy,jepy,N,C,0,S,sanción,sanción,N,C,F,S
jepykuera,jepy,N,C,0,P,sanciones,sanción,N,C,F,P
jepy'amongeta,jepy'amongeta,N,C,0,S,meditación,meditación,N,C,F,S
jepy'amongetanguera,jepy'amongeta,N,C,0,P,meditaciones,meditación,N,C,F,P
jepy'amongetanguera,jepy'amongeta,N,C,0,P,meditaciónes,meditación,N,C,F,P
jepy'apy,jepy'apy,N,C,0,S,quebranto,quebranto,N,C,M,S
jepy'apykuera,jepy'apy,N,C,0,P,quebrantos,quebranto,N,C,M,P
jepy'apy,jepy'apy,N,C,0,S,preocupación,preocupación,N,C,F,S
jepy'apykuera,jepy'apy,N,C,0,P,preocupaciones,preocupación,N,C,F,P
jepy'apy,jepy'apy,N,C,0,S,aflicción,aflicción,N,C,F,S
jepy'apykuera,jepy'apy,N,C,0,P,aflicciones,aflicción,N,C,F,P
jepy'apy,jepy'apy,N,C,0,S,congoja,congoja,N,C,F,S
jepy'apykuera,jepy'apy,N,C,0,P,congojas,congoja,N,C,F,P
jepy'apy,jepy'apy,N,C,0,S,angustia,angustia,N,C,F,S
jepy'apykuera,jepy'apy,N,C,0,P,angustias,angustia,N,C,F,P
jepy'apy,jepy'apy,N,C,0,S,pena,pena,N,C,F,S
jepy'apykuera,jepy'apy,N,C,0,P,penas,pena,N,C,F,P
jepy'aremói,jepy'aremói,N,C,0,S,remordimiento,remordimiento,N,C,M,S
jepy'aremóinguera,jepy'aremói,N,C,0,P,remordimientos,remordimiento,N,C,M,P
jepyhy,jepyhy,N,C,0,S,toma,toma,N,C,F,S
jepyhykuera,jepyhy,N,C,0,P,tomas,toma,N,C,F,P
jepyhy,jepyhy,N,C,0,S,presa,presa,N,C,F,S
jepyhykuera,jepyhy,N,C,0,P,presas,presa,N,C,F,P
jepyhy,jepyhy,N,C,0,S,recepción,recepción,N,C,F,S
jepyhykuera,jepyhy,N,C,0,P,recepciones,recepción,N,C,F,P
jepyso,jepyso,N,C,0,S,estiramiento,estiramiento,N,C,M,S
jepysokuera,jepyso,N,C,0,P,estiramientos,estiramiento,N,C,M,P
jepyta,jepyta,N,C,0,S,parada,parada,N,C,F,S
jepyta,jepyta,N,C,0,S,parada,parado,N,C,F,S
jepytakuera,jepyta,N,C,0,P,paradas,parada,N,C,F,P
jepyta,jepyta,N,C,0,S,permanencia,permanencia,N,C,F,S
jepytakuera,jepyta,N,C,0,P,permanencias,permanencia,N,C,F,P
jepytaha,jepytaha,N,C,0,S,parada,parada,N,C,F,S
jepytaha,jepytaha,N,C,0,S,parada,parado,N,C,F,S
jepytahakuera,jepytaha,N,C,0,P,paradas,parada,N,C,F,P
jepytaha,jepytaha,N,C,0,S,posada,posada,N,C,F,S
jepytahakuera,jepytaha,N,C,0,P,posadas,posada,N,C,F,P
jepytaha,jepytaha,N,C,0,S,pensión,pensión,N,C,F,S
jepytahakuera,jepytaha,N,C,0,P,pensiones,pensión,N,C,F,P
jepytaso,jepytaso,N,C,0,S,esfuerzo,esfuerzo,N,C,M,S
jepytasokuera,jepytaso,N,C,0,P,esfuerzos,esfuerzo,N,C,M,P
jepytaso,jepytaso,N,C,0,S,empeño,empeño,N,C,M,S
jepytasokuera,jepytaso,N,C,0,P,empeños,empeño,N,C,M,P
jepyte,jepyte,N,C,0,S,succión,succión,N,C,F,S
jepytekuera,jepyte,N,C,0,P,succiones,succión,N,C,F,P
jepyteha,jepyteha,N,C,0,S,bombilla,bombilla,N,C,F,S
jepytehakuera,jepyteha,N,C,0,P,bombillas,bombilla,N,C,F,P
jepyteha,jepyteha,N,C,0,S,pajita,pajita,N,C,F,S
jepytehakuera,jepyteha,N,C,0,P,pajitas,pajita,N,C,F,P
jepyvoi,jepyvoi,N,C,0,S,pateadura,pateadura,N,C,F,S
jepyvoikuera,jepyvoi,N,C,0,P,pateaduras,pateadura,N,C,F,P
jepyvu,jepyvu,N,C,0,S,remolino,remolino,N,C,M,S
jepyvukuera,jepyvu,N,C,0,P,remolinos,remolino,N,C,M,P
jepyvu,jepyvu,N,C,0,S,vórtice,vórtice,N,C,M,S
jepyvukuera,jepyvu,N,C,0,P,vórtices,vórtice,N,C,M,P
jera,jera,N,C,0,S,soltura,soltura,N,C,F,S
jerakuera,jera,N,C,0,P,solturas,soltura,N,C,F,P
jere,jere,N,C,0,S,vuelta,vuelta,N,C,F,S
jerekuera,jere,N,C,0,P,vueltas,vuelta,N,C,F,P
jere,jere,N,C,0,S,entorno,entorno,N,C,M,S
jerekuera,jere,N,C,0,P,entornos,entorno,N,C,M,P
jere,jere,N,C,0,S,contorno,contorno,N,C,M,S
jerekuera,jere,N,C,0,P,contornos,contorno,N,C,M,P
jerekuera,jere,N,C,0,P,alrededores,alrededor,N,C,M,P
jere,jere,N,C,0,S,rodeo,rodeo,N,C,M,S
jerekuera,jere,N,C,0,P,rodeos,rodeo,N,C,M,P
jere,jere,N,C,0,S,ruedo,ruedo,N,C,M,S
jerekuera,jere,N,C,0,P,ruedos,ruedo,N,C,M,P
jere,jere,N,C,0,S,periferia,periferia,N,C,F,S
jerekuera,jere,N,C,0,P,periferias,periferia,N,C,F,P
jere,jere,N,C,0,S,rotación,rotación,N,C,F,S
jerekuera,jere,N,C,0,P,rotaciones,rotación,N,C,F,P
jere,jere,N,C,0,S,vuelco,vuelco,N,C,M,S
jerekuera,jere,N,C,0,P,vuelcos,vuelco,N,C,M,P
jere,jere,N,C,0,S,vuelta,vuelta,N,C,F,S
jerekuera,jere,N,C,0,P,vueltas,vuelta,N,C,F,P
jere,jere,N,C,0,S,recodo,recodo,N,C,M,S
jerekuera,jere,N,C,0,P,recodos,recodo,N,C,M,P
jere,jere,N,C,0,S,rededor,rededor,N,C,M,S
jerekuera,jere,N,C,0,P,rededores,rededor,N,C,M,P
jere,jere,N,C,0,S,marco,marco,N,C,M,S
jerekuera,jere,N,C,0,P,marcos,marco,N,C,M,P
jere,jere,N,C,0,S,contorno,contorno,N,C,M,S
jerekuera,jere,N,C,0,P,contornos,contorno,N,C,M,P
jere,jere,N,C,0,S,giro,giro,N,C,M,S
jerekuera,jere,N,C,0,P,giros,giro,N,C,M,P
jereha,jereha,N,C,0,S,medio,medio,N,C,M,S
jerehakuera,jereha,N,C,0,P,medios,medio,N,C,M,P
jereha,jereha,N,C,0,S,ambiente,ambiente,N,C,M,S
jerehakuera,jereha,N,C,0,P,ambientes,ambiente,N,C,M,P
jereko,jereko,N,C,0,S,posesión,posesión,N,C,F,S
jerekokuera,jereko,N,C,0,P,posesiones,posesión,N,C,F,P
jereko,jereko,N,C,0,S,potestad,potestad,N,C,F,S
jerekokuera,jereko,N,C,0,P,potestades,potestad,N,C,F,P
jerekoha,jerekoha,N,C,0,S,pertenencia,pertenencia,N,C,F,S
jerekohakuera,jerekoha,N,C,0,P,pertenencias,pertenencia,N,C,F,P
jerekoha,jerekoha,N,C,0,S,recurso,recurso,N,C,M,S
jerekohakuera,jerekoha,N,C,0,P,recursos,recurso,N,C,M,P
jerekue,jerekue,N,C,0,S,rededor,rededor,N,C,M,S
jerekuekuera,jerekue,N,C,0,P,rededores,rededor,N,C,M,P
jereraha,jereraha,N,C,0,S,usanza,usanza,N,C,F,S
jererahakuera,jereraha,N,C,0,P,usanzas,usanza,N,C,F,P
jerereko,jerereko,N,C,0,S,potestad,potestad,N,C,F,S
jererekokuera,jerereko,N,C,0,P,potestades,potestad,N,C,F,P
jererekoha,jererekoha,N,C,0,S,posesión,posesión,N,C,F,S
jererekohakuera,jererekoha,N,C,0,P,posesiones,posesión,N,C,F,P
jererohory,jererohory,N,C,0,S,felicitación,felicitación,N,C,F,S
jererohorykuera,jererohory,N,C,0,P,felicitaciones,felicitación,N,C,F,P
jererovu,jererovu,N,C,0,S,pompa,pompa,N,C,F,S
jererovukuera,jererovu,N,C,0,P,pompas,pompa,N,C,F,P
jererovu,jererovu,N,C,0,S,vanidad,vanidad,N,C,F,S
jererovukuera,jererovu,N,C,0,P,vanidades,vanidad,N,C,F,P
jererovu,jererovu,N,C,0,S,altanería,altanería,N,C,F,S
jererovukuera,jererovu,N,C,0,P,altanerías,altanería,N,C,F,P
jero'a,jero'a,N,C,0,S,inclinación,inclinación,N,C,F,S
jero'akuera,jero'a,N,C,0,P,inclinaciones,inclinación,N,C,F,P
jerochichĩ,jerochichĩ,N,C,0,S,zalamería,zalamería,N,C,F,S
jerochichĩkuera,jerochichĩ,N,C,0,P,zalamerías,zalamería,N,C,F,P
jerochichĩ,jerochichĩ,N,C,0,S,mimo,mimo,N,C,M,S
jerochichĩkuera,jerochichĩ,N,C,0,P,mimos,mimo,N,C,M,P
jerojy,jerojy,N,C,0,S,reverencia,reverencia,N,C,F,S
jerojykuera,jerojy,N,C,0,P,reverencias,reverencia,N,C,F,P
jerokañy,jerokañy,N,C,0,S,pérdida,pérdida,N,C,F,S
jerokañykuera,jerokañy,N,C,0,P,pérdidas,pérdida,N,C,F,P
jerokañy,jerokañy,N,C,0,S,rapto,rapto,N,C,M,S
jerokañykuera,jerokañy,N,C,0,P,raptos,rapto,N,C,M,P
jeroky,jeroky,N,C,0,S,baile,baile,N,C,M,S
jerokykuera,jeroky,N,C,0,P,bailes,baile,N,C,M,P
jeroky,jeroky,N,C,0,S,danza,danza,N,C,F,S
jerokykuera,jeroky,N,C,0,P,danzas,danza,N,C,F,P
jerokyha,jerokyha,N,C,0,S,baile,baile,N,C,M,S
jerokyhakuera,jerokyha,N,C,0,P,bailes,baile,N,C,M,P
jerokyha,jerokyha,N,C,0,S,bailarín,bailarín,N,C,M,S
jerokyha,jerokyha,N,C,0,S,bailarina,bailarín,N,C,F,S
jerokyhakuera,jerokyha,N,C,0,P,bailarinas,bailarín,N,C,F,P
jerokyhakuera,jerokyha,N,C,0,P,bailarines,bailarín,N,C,M,P
jerombyasy,jerombyasy,N,C,0,S,pésame,pésame,N,C,M,S
jerombyasynguera,jerombyasy,N,C,0,P,pésames,pésame,N,C,M,P
jerombyasy,jerombyasy,N,C,0,S,compasión,compasión,N,C,F,S
jerombyasynguera,jerombyasy,N,C,0,P,compasiones,compasión,N,C,F,P
jerova,jerova,N,C,0,S,mudanza,mudanza,N,C,F,S
jerovakuera,jerova,N,C,0,P,mudanzas,mudanza,N,C,F,P
jerova,jerova,N,C,0,S,traslado,traslado,N,C,M,S
jerovakuera,jerova,N,C,0,P,traslados,traslado,N,C,M,P
jerova,jerova,N,C,0,S,trasporte,trasporte,N,C,M,S
jerovakuera,jerova,N,C,0,P,trasportes,trasporte,N,C,M,P
jerovia,jerovia,N,C,0,S,creencia,creencia,N,C,F,S
jeroviakuera,jerovia,N,C,0,P,creencias,creencia,N,C,F,P
jerovia,jerovia,N,C,0,S,religión,religión,N,C,F,S
jeroviakuera,jerovia,N,C,0,P,religiones,religión,N,C,F,P
jerovia,jerovia,N,C,0,S,fe,fe,N,C,F,S
jeroviakuera,jerovia,N,C,0,P,fes,fe,N,C,F,P
jerovia,jerovia,N,C,0,S,esperanza,esperanza,N,C,F,S
jeroviakuera,jerovia,N,C,0,P,esperanzas,esperanza,N,C,F,P
jerovia,jerovia,N,C,0,S,confianza,confianza,N,C,F,S
jeroviakuera,jerovia,N,C,0,P,confianzas,confianza,N,C,F,P
jerovia,jerovia,N,C,0,S,prestigio,prestigio,N,C,M,S
jeroviakuera,jerovia,N,C,0,P,prestigios,prestigio,N,C,M,P
jerovia'ỹ,jerovia'ỹ,N,C,0,S,desconfianza,desconfianza,N,C,F,S
jerovia'ỹkuera,jerovia'ỹ,N,C,0,P,desconfianzas,desconfianza,N,C,F,P
jeroviaha,jeroviaha,N,C,0,S,confidente,confidente,N,C,C,S
jeroviahakuera,jeroviaha,N,C,0,P,confidentes,confidente,N,C,C,P
jeroviapy,jeroviapy,N,C,0,S,lealtad,lealtad,N,C,F,S
jeroviapykuera,jeroviapy,N,C,0,P,lealtades,lealtad,N,C,F,P
jeroviapy,jeroviapy,N,C,0,S,fidelidad,fidelidad,N,C,F,S
jeroviapykuera,jeroviapy,N,C,0,P,fidelidades,fidelidad,N,C,F,P
jeroviauka,jeroviauka,N,C,0,S,garantía,garantía,N,C,F,S
jeroviaukakuera,jeroviauka,N,C,0,P,garantías,garantía,N,C,F,P
jeroviaukaha,jeroviaukaha,N,C,0,S,garante,garante,N,C,C,S
jeroviaukahakuera,jeroviaukaha,N,C,0,P,garantes,garante,N,C,C,P
jeroviaukaha,jeroviaukaha,N,C,0,S,aval,aval,N,C,M,S
jeroviaukahakuera,jeroviaukaha,N,C,0,P,avales,aval,N,C,M,P
jeroviave'ỹ,jeroviave'ỹ,N,C,0,S,desencanto,desencanto,N,C,M,S
jeroviave'ỹkuera,jeroviave'ỹ,N,C,0,P,desencantos,desencanto,N,C,M,P
jerovu,jerovu,N,C,0,S,petulancia,petulancia,N,C,F,S
jerovukuera,jerovu,N,C,0,P,petulancias,petulancia,N,C,F,P
jerovu,jerovu,N,C,0,S,orgullo,orgullo,N,C,M,S
jerovukuera,jerovu,N,C,0,P,orgullos,orgullo,N,C,M,P
jerovu'ỹ,jerovu'ỹ,N,C,0,S,modestia,modestia,N,C,F,S
jerovu'ỹkuera,jerovu'ỹ,N,C,0,P,modestias,modestia,N,C,F,P
jerure,jerure,N,C,0,S,pedido,pedido,N,C,M,S
jerurekuera,jerure,N,C,0,P,pedidos,pedido,N,C,M,P
jerure,jerure,N,C,0,S,ruego,ruego,N,C,M,S
jerurekuera,jerure,N,C,0,P,ruegos,ruego,N,C,M,P
jerure,jerure,N,C,0,S,súplica,súplica,N,C,F,S
jerurekuera,jerure,N,C,0,P,súplicas,súplica,N,C,F,P
jerure,jerure,N,C,0,S,petición,petición,N,C,F,S
jerurekuera,jerure,N,C,0,P,peticiones,petición,N,C,F,P
jerure,jerure,N,C,0,S,solicitud,solicitud,N,C,F,S
jerurekuera,jerure,N,C,0,P,solicitudes,solicitud,N,C,F,P
jerureha,jerureha,N,C,0,S,ruego,ruego,N,C,M,S
jerurehakuera,jerureha,N,C,0,P,ruegos,ruego,N,C,M,P
jerureha,jerureha,N,C,0,S,solicitud,solicitud,N,C,F,S
jerurehakuera,jerureha,N,C,0,P,solicitudes,solicitud,N,C,F,P
jeruti,jeruti,N,C,0,S,tórtola,tórtola,N,C,F,S
jerutikuera,jeruti,N,C,0,P,tórtolas,tórtola,N,C,F,P
jeruti,jeruti,N,C,0,S,paloma,paloma,N,C,F,S
jerutikuera,jeruti,N,C,0,P,palomas,paloma,N,C,F,P
jesapysoha,jesapysoha,N,C,0,S,panorama,panorama,N,C,M,S
jesapysohakuera,jesapysoha,N,C,0,P,panoramas,panorama,N,C,M,P
jesarea,jesarea,N,C,0,S,desconcierto,desconcierto,N,C,M,S
jesareakuera,jesarea,N,C,0,P,desconciertos,desconcierto,N,C,M,P
jesareko,jesareko,N,C,0,S,atención,atención,N,C,F,S
jesarekokuera,jesareko,N,C,0,P,atenciones,atención,N,C,F,P
jeso,jeso,N,C,0,S,quiebra,quiebra,N,C,F,S
jesokuera,jeso,N,C,0,P,quiebras,quiebra,N,C,F,P
jesoro,jesoro,N,C,0,S,desgarro,desgarro,N,C,M,S
jesorokuera,jesoro,N,C,0,P,desgarros,desgarro,N,C,M,P
jesu'u,jesu'u,N,C,0,S,mordedura,mordedura,N,C,F,S
jesu'ukuera,jesu'u,N,C,0,P,mordeduras,mordedura,N,C,F,P
jesu'u,jesu'u,N,C,0,S,picotazo,picotazo,N,C,M,S
jesu'ukuera,jesu'u,N,C,0,P,picotazos,picotazo,N,C,M,P
jetapa,jetapa,N,C,0,S,tijera,tijera,N,C,F,S
jetapakuera,jetapa,N,C,0,P,tijeras,tijera,N,C,F,P
jetepyso,jetepyso,N,C,0,S,contorsión,contorsión,N,C,F,S
jetepysokuera,jetepyso,N,C,0,P,contorsiones,contorsión,N,C,F,P
jetu'u,jetu'u,N,C,0,S,obstinación,obstinación,N,C,F,S
jetu'ukuera,jetu'u,N,C,0,P,obstinaciones,obstinación,N,C,F,P
jetu'u,jetu'u,N,C,0,S,persistencia,persistencia,N,C,F,S
jetu'ukuera,jetu'u,N,C,0,P,persistenciaas,persistencia,N,C,F,P
jetu'ukuera,jetu'u,N,C,0,P,persistencias,persistencia,N,C,F,P
jety,jety,N,C,0,S,batata,batata,N,C,F,S
jetykuera,jety,N,C,0,P,batatas,batata,N,C,F,P
jety,jety,N,C,0,S,boniato,boniato,N,C,M,S
jetykuera,jety,N,C,0,P,boniatos,boniato,N,C,M,P
jety,jety,N,C,0,S,camote,camote,N,C,M,S
jetykuera,jety,N,C,0,P,camotes,camote,N,C,M,P
jeva,jeva,N,C,0,S,mudanza,mudanza,N,C,F,S
jevakuera,jeva,N,C,0,P,mudanzas,mudanza,N,C,F,P
jeva,jeva,N,C,0,S,migración,migración,N,C,F,S
jevakuera,jeva,N,C,0,P,migraciones,migración,N,C,F,P
jeva,jeva,N,C,0,S,cambio,cambio,N,C,M,S
jevakuera,jeva,N,C,0,P,cambios,cambio,N,C,M,P
jevava,jevava,N,C,0,S,balanceo,balanceo,N,C,M,S
jevavakuera,jevava,N,C,0,P,balanceos,balanceo,N,C,M,P
jevu,jevu,N,C,0,S,hinchazón,hinchazón,N,C,F,S
jevukuera,jevu,N,C,0,P,hinchazones,hinchazón,N,C,F,P
jevykuera,jevy,N,C,0,P,veces,vez,N,C,F,P
jevy,jevy,N,C,0,S,vez,vez,N,C,F,S
jeykuera,jey,N,C,0,P,veces,vez,N,C,F,P
jey,jey,N,C,0,S,vez,vez,N,C,F,S
jey'uha,jey'uha,N,C,0,S,bebedero,bebedero,N,C,M,S
jey'uhakuera,jey'uha,N,C,0,P,bebederos,bebedero,N,C,M,P
jey'urã,jey'urã,N,C,0,S,bebida,bebida,N,C,F,S
jey'urãkuera,jey'urã,N,C,0,P,bebidas,bebida,N,C,F,P
jeyta,jeyta,N,C,0,S,natación,natación,N,C,F,S
jeytakuera,jeyta,N,C,0,P,nataciones,natación,N,C,F,P
jo'aha,jo'aha,N,C,0,S,propina,propina,N,C,F,S
jo'ahakuera,jo'aha,N,C,0,P,propinas,propina,N,C,F,P
joaju,joaju,N,C,0,S,unión,unión,N,C,F,S
joajukuera,joaju,N,C,0,P,uniones,unión,N,C,F,P
joajukuera,joaju,N,C,0,P,uniónes,unión,N,C,F,P
joaju,joaju,N,C,0,S,enlace,enlace,N,C,M,S
joajukuera,joaju,N,C,0,P,enlaces,enlace,N,C,M,P
joaju,joaju,N,C,0,S,adhesión,adhesión,N,C,F,S
joajukuera,joaju,N,C,0,P,adhesiones,adhesión,N,C,F,P
joaju,joaju,N,C,0,S,sutura,sutura,N,C,F,S
joajukuera,joaju,N,C,0,P,suturas,sutura,N,C,F,P
joaju,joaju,N,C,0,S,solidaridad,solidaridad,N,C,F,S
joajukuera,joaju,N,C,0,P,solidaridades,solidaridad,N,C,F,P
joaju,joaju,N,C,0,S,vínculo,vínculo,N,C,M,S
joajukuera,joaju,N,C,0,P,vínculos,vínculo,N,C,M,P
joaju,joaju,N,C,0,S,lazo,lazo,N,C,M,S
joajukuera,joaju,N,C,0,P,lazos,lazo,N,C,M,P
joaju,joaju,N,C,0,S,junta,junta,N,C,F,S
joajukuera,joaju,N,C,0,P,juntas,junta,N,C,F,P
joaju,joaju,N,C,0,S,cópula,cópula,N,C,F,S
joajukuera,joaju,N,C,0,P,cópulas,cópula,N,C,F,P
joapy,joapy,N,C,0,S,unión,unión,N,C,F,S
joapykuera,joapy,N,C,0,P,uniones,unión,N,C,F,P
joapykuera,joapy,N,C,0,P,uniónes,unión,N,C,F,P
joapy,joapy,N,C,0,S,cohesión,cohesión,N,C,F,S
joapykuera,joapy,N,C,0,P,cohesiones,cohesión,N,C,F,P
joapy,joapy,N,C,0,S,nexo,nexo,N,C,M,S
joapykuera,joapy,N,C,0,P,nexos,nexo,N,C,M,P
joapy,joapy,N,C,0,S,federación,federación,N,C,F,S
joapykuera,joapy,N,C,0,P,federaciones,federación,N,C,F,P
joaty,joaty,N,C,0,S,federación,federación,N,C,F,S
joatykuera,joaty,N,C,0,P,federaciones,federación,N,C,F,P
joavy,joavy,N,C,0,S,desacuerdo,desacuerdo,N,C,M,S
joavykuera,joavy,N,C,0,P,desacuerdos,desacuerdo,N,C,M,P
joavy,joavy,N,C,0,S,discrepancia,discrepancia,N,C,F,S
joavykuera,joavy,N,C,0,P,discrepancias,discrepancia,N,C,F,P
joavy,joavy,N,C,0,S,diferencia,diferencia,N,C,F,S
joavykuera,joavy,N,C,0,P,diferencias,diferencia,N,C,F,P
joavy,joavy,N,C,0,S,discordia,discordia,N,C,F,S
joavykuera,joavy,N,C,0,P,discordias,discordia,N,C,F,P
joayhu,joayhu,N,C,0,S,amistad,amistad,N,C,F,S
joayhukuera,joayhu,N,C,0,P,amistades,amistad,N,C,F,P
joayhu,joayhu,N,C,0,S,fraternidad,fraternidad,N,C,F,S
joayhukuera,joayhu,N,C,0,P,fraternidades,fraternidad,N,C,F,P
joayhu'ỹ,joayhu'ỹ,N,C,0,S,enemistad,enemistad,N,C,F,S
joayhu'ỹkuera,joayhu'ỹ,N,C,0,P,enemistades,enemistad,N,C,F,P
joayhu'ỹkuera,joayhu'ỹ,N,C,0,P,tiranteces,tirantez,N,C,F,P
joayhu'ỹ,joayhu'ỹ,N,C,0,S,tirantez,tirantez,N,C,F,S
joayhujoakuera,joayhujoa,N,C,0,P,paces,paz,N,C,F,P
joayhujoa,joayhujoa,N,C,0,S,paz,paz,N,C,F,S
joguaha,joguaha,N,C,0,S,igual,igual,N,C,M,S
joguahakuera,joguaha,N,C,0,P,iguales,igual,N,C,M,P
joguaha,joguaha,N,C,0,S,semejanza,semejanza,N,C,F,S
joguahakuera,joguaha,N,C,0,P,semejanzas,semejanza,N,C,F,P
joguapyre,joguapyre,N,C,0,S,compra,compra,N,C,F,S
joguapyrekuera,joguapyre,N,C,0,P,compras,compra,N,C,F,P
joguapyrã,joguapyrã,N,C,0,S,mercadería,mercadería,N,C,F,S
joguapyrãkuera,joguapyrã,N,C,0,P,mercaderías,mercadería,N,C,F,P
joguerekokuaa,joguerekokuaa,N,C,0,S,convivencia,convivencia,N,C,F,S
joguerekokuaakuera,joguerekokuaa,N,C,0,P,convivencias,convivencia,N,C,F,P
joha,joha,N,C,0,S,picazón,picazón,N,C,F,S
johakuera,joha,N,C,0,P,picazones,picazón,N,C,F,P
joha,joha,N,C,0,S,prurito,prurito,N,C,M,S
johakuera,joha,N,C,0,P,pruritos,prurito,N,C,M,P
joha,joha,N,C,0,S,escozor,escozor,N,C,M,S
johakuera,joha,N,C,0,P,escozores,escozor,N,C,M,P
joha,joha,N,C,0,S,sinsabor,sinsabor,N,C,M,S
johakuera,joha,N,C,0,P,sinsabores,sinsabor,N,C,M,P
